Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ENTP,3301,003,8,21,7,13,4,,1,1,,,,,,,5,,0,"Nichols, Paul M",,,,,
ENTP,3301,004,,1,9,7,6,7,,,,,,,,,6,,0,"Miller, Toyah L","Welbourne Eleazar, Miranda J",,,,
ENTP,3301,0W1,,19,,,18,,,2,,,,,1,,4,,4,"Pedigo, Madison F",,,,,
ENTP,3301,501,3,1,9,10,1,1,1,1,,,,,,,4,,1,"Bhatti, Christopher J",,,,,
ENTP,3320,001,,6,5,1,1,,,,,,,,,,2,,0,"Wright, Robert G",,,,,
ENTP,3360,002,,,1,1,2,1,,,,,,,1,,6,,0,"Park, Haemin","Kresevic Minaya, Boris B",,,,
ENTP,4311,001,,10,,,8,,,,,,,,,,5,4,0,"Shah, Rajiv","Dode, Shrutik G",,,,
ENTP,4320,501,2,2,22,6,1,,,,,,,,,,3,1,0,"Peck, Paul S",,,,,
ENTP,4340,501,,,158,,,12,,,,,,,,,41,,3,"Wright, Robert G",,,,,
ENTP,4V00,001,6,6,,,,,,,,,,,,,1,,0,"Chambers, Bryan D",,,,,
ENTP,6315,0W1,,1,1,4,,1,,1,,,,,,3,,,0,"Pedigo, Madison F",,,,,
ENTP,6352,GW1,,15,,,,,,,,,,,,,,,0,"Ghosh, Jay K",,,,,
ENTP,6370,0W1,,7,12,3,6,,,1,,,,,,16,,,0,"Kimzey, Jackie","Kwon, Jung Hyun",,,,
ENTP,6370,501,,8,7,2,3,,,,,,,,,4,,,0,"Kimzey, Jackie",,,,,
ENTP,6375,501,,5,1,2,1,,,,,,,,,5,,,0,"Shah, Rajiv","Dode, Shrutik G",,,,
ENTP,6390,501,,4,3,3,1,,,,,,,,,1,,,0,"Park, Haemin","Liu, Yu",,,,
ENTP,6394,XS1,,5,3,4,9,,,,,,,,,4,,,0,"Kimzey, Jackie","Kwon, Jung Hyun",,,,
ENTP,6398,501,,21,5,,,1,,,,,,,,5,,,0,"Shah, Rajiv","Dode, Shrutik G",,,,
ENVR,2302,001,3,1,,1,2,2,,,1,,,,2,,3,1,1,"Cummings, Anthony R","Venigalla, Lasya",,,,
EPCS,2200,001,,50,,6,4,,,2,,,1,,,,19,1,1,"Bennett, Terrell R",,,,,
EPCS,3200,001,,7,,,3,,,,,,,,,,2,,0,"Bennett, Terrell R",,,,,
EPPS,2301,001,1,2,3,2,3,4,2,,,,,,3,,7,5,5,"Hicks, Donald","Islam, Iftekhairul",,,,
EPPS,2301,002,,22,15,5,4,5,4,,,2,,,,,,1,1,"Narvey, Chelsey",,,,,
EPPS,2301,003,,29,7,2,,1,,2,,,,,1,,,,0,"Laprade, Jennifer M",,,,,
EPPS,2302,001,4,7,,3,3,,1,,,,,,,,2,1,3,"Dean, Denis J",,,,,
EPPS,2302,002,,7,3,2,3,,1,2,,,1,,,,2,,2,"Kovandzic, Tomislav","Sanil Mannumood, Merin","Yim, Haneul",,,
EPPS,2302,003,4,7,4,3,5,3,,7,,,,1,1,,5,1,3,"Taden, John",,,,,
EPPS,6313,501,,8,4,3,2,,,,,,,,,5,,,0,"Grover, William C",,,,,
EPPS,6316,501,,6,2,4,3,,,,,,,,,11,,,3,"D'Orazio, Vito",,,,,
EPPS,6352,001,,22,,,,,,,,,,,,,,,0,"Bray, Timothy M",,,,,
EPPS,6354,001,,11,3,,4,,,,,,,,,2,,,2,"Ho, Karl",,,,,
EPPS,7316,001,,4,4,2,1,,,,,,,,,,,,1,"Brandt, Patrick","Cavallo De Oliveira, Paulo Marcio",,,,
EPPS,7318,001,,14,3,,,,,,,,,,,,,,2,"Ho, Karl","Clarke, Harold D",,,,
FERM,6302,FS1,,8,4,2,1,,,,,,,,,1,,,0,"Selender, Arthur",,,,,
FERM,6306,FS1,,2,,4,,1,,2,,,,,,2,,,0,"Lois, Brian",,,,,
FERM,6311,FH1,,3,7,1,1,,,,,,,,,1,,,0,"Scott, James A",,,,,
FERM,6320,FS1,,5,4,,1,,,,,,,,,5,,,0,"Ma, Liping",,,,,
FERM,6V99,FS1,,9,1,,2,1,,1,,,,,,,,,0,"Wang, Yi",,,,,
FILM,2332,001,2,5,11,7,9,12,9,3,5,2,1,,6,,11,4,7,"Petty, John E","Wensel, Laurence L",,,,
FILM,2332,002,27,16,9,6,1,2,,1,2,1,1,,4,,10,4,3,"Warren, Shilyh J","Almroani, Nouf Mfdhi H",,,,
FILM,3321,501,,5,11,6,7,7,2,,3,,,,1,,3,2,1,"Petty, John E",,,,,
FILM,3342,001,14,3,2,1,,,,,,3,,1,,,3,2,0,"Warren, Shilyh J",,,,,
FIN,3100,001,6,17,7,2,1,,,,,,,,,,7,,0,"Miller, Alyssa",,,,,
FIN,3100,002,26,8,1,1,,1,,,,,,,,,2,,0,"Watson, John M",,,,,
FIN,3100,501,6,4,4,3,2,1,,,1,,,,1,,13,1,0,"Newcomb, Rebecca G",,,,,
FIN,3200,501,15,17,3,3,2,1,1,1,1,,,,,,2,,1,"Smallwood, James E",,,,,
FIN,3300,001,,11,,,18,,,4,,,1,,,,8,,5,"Lynch, Julie","Gupta, Ayushi",,,,
FIN,3305,001,,,,,9,,,1,,,,,1,,9,,0,"Lynch, Julie","Gupta, Ayushi",,,,
FIN,3305,002,1,6,3,,10,,,9,1,,,,,,7,,0,"Guttery, Randall","Herd, Harrison L",,,,
FIN,3305,003,,11,1,,7,3,,4,,,,,,,10,1,1,"Guttery, Randall","Herd, Harrison L",,,,
FIN,3305,501,,5,,,10,,,,,,,,,,6,,0,"Lynch, Julie","Gupta, Ayushi",,,,
FIN,3320,001,1,8,7,4,3,2,1,1,,,,,,,22,,0,"Peabody, Stephen D",,,,,
FIN,3320,002,2,4,2,2,4,4,3,3,2,1,,,2,,14,2,2,"Cordell, David M","Kambiri, Prerak",,,,
FIN,3320,003,,5,2,,3,1,2,3,5,,4,,1,,18,2,2,"Cordell, David M","Kambiri, Prerak",,,,
FIN,3320,004,3,7,3,3,,6,1,1,1,1,1,,,,18,,2,"Cordell, David M","Kambiri, Prerak",,,,
FIN,3320,006,2,2,3,4,6,4,3,2,,1,1,1,,,13,3,3,"Kim, Sang Hyun",,,,,
FIN,3320,007,2,1,,1,2,,1,1,,1,,,1,,11,4,5,"Kieschnick, Robert L",,,,,
FIN,3320,008,1,6,1,3,5,,1,7,,,,,1,,16,1,7,"Kieschnick, Robert L",,,,,
FIN,3320,009,3,6,5,8,4,2,3,,,,,,,,13,1,0,"Gurun, Ayfer","Kresevic Minaya, Boris B",,,,
FIN,3320,010,2,5,4,8,7,2,,2,,,,,,,18,,1,"Peabody, Stephen D",,,,,
FIN,3320,011,,3,6,9,4,8,4,,,,,,,,4,,0,"Khanapure, Revansiddha B","Kurucak, Abdurrahman",,,,
FIN,3320,013,,14,,,10,,,2,,,,,,,19,,2,"Li, Jun","Zhu, Yifan",,,,
FIN,3320,014,3,4,2,3,4,3,2,,,,2,,,,21,1,2,"Lee, Pil-Seng",,,,,
FIN,3320,015,,23,,,8,,,5,,,,,,,9,1,3,"Li, Jun","Zhu, Yifan",,,,
FIN,3320,0E1,3,2,3,1,2,,,,,,,,,,5,1,0,"Kaur, Dupinderjeet","Malhotra, Varda",,,,
FIN,3320,0W1,2,34,5,2,1,,,1,,,,,1,,3,,1,"Manzi, Jeff",,,,,
FIN,3320,0W2,,31,8,1,1,,1,1,,,,,1,,5,,0,"Manzi, Jeff",,,,,
FIN,3320,501,,6,8,8,7,7,1,1,1,,,,,,7,,3,"Khanapure, Revansiddha B","Kurucak, Abdurrahman",,,,
FIN,3320,HON,,10,11,1,1,,,,,,,,,,10,,0,"Peabody, Stephen D",,,,,
FIN,3330,001,24,13,,4,8,,,,,1,,,,,6,1,0,"Chapman, Juliann G","Kim, Kyuri",,,,
FIN,3330,002,6,11,,6,7,,1,2,,,,,2,,6,,1,"Chapman, Juliann G","Kim, Kyuri",,,,
FIN,3330,003,8,19,,6,4,,2,1,,,1,,,,5,,0,"Chapman, Juliann G","Kim, Kyuri",,,,
FIN,3330,005,7,11,,2,7,,,2,,1,,,1,,2,,0,"Chapman, Juliann G","Kim, Kyuri",,,,
FIN,3340,001,25,16,11,2,2,,,,,,,,,,4,,0,"Molina, Stephen","Wendel, Alexa P",,,,
FIN,3350,001,,9,3,3,4,6,1,,2,,,,,,11,3,2,"Xia, Han","Zhao, Yabo",,,,
FIN,3350,002,,3,4,2,6,3,,1,4,,,,1,,10,,1,"Xia, Han","Zhao, Yabo",,,,
FIN,3360,001,,4,3,3,3,6,3,,,,,,,,13,,0,"Park, Haemin","Kresevic Minaya, Boris B",,,,
FIN,3360,002,,2,7,3,3,2,,1,,,,,,,7,1,1,"Park, Haemin","Kresevic Minaya, Boris B",,,,
FIN,3365,001,5,6,2,2,6,1,2,2,,1,1,,,,5,1,0,"DeCourcy, George A",,,,,
FIN,3370,001,19,20,6,2,,,,,,,,,,,,,0,"Richardson, Debra L",,,,,
FIN,3370,002,9,2,4,3,3,,,,,1,,,,,9,2,0,"Kaplan, Larry S",,,,,
FIN,3380,001,,5,4,7,11,2,2,1,,,2,,,,7,,0,"Gurun, Ayfer",,,,,
FIN,3380,002,1,2,4,1,8,3,1,,,,,,1,,4,,0,"Gurun, Ayfer",,,,,
FIN,3390,001,3,6,3,2,2,,1,3,1,3,,,1,,6,7,2,"El-Ashmawi, Amal H","Nekkundi Babu Reddy, Anjana",,,,
FIN,3390,002,4,2,4,,1,3,1,,2,4,,1,,,8,3,1,"El-Ashmawi, Amal H","Nekkundi Babu Reddy, Anjana",,,,
FIN,3390,003,6,,4,1,,2,1,1,2,2,,3,1,,4,3,1,"El-Ashmawi, Amal H","Nekkundi Babu Reddy, Anjana",,,,
FIN,3390,004,12,6,7,2,2,3,4,3,4,,,,,,15,1,0,"Kaur, Dupinderjeet","Malhotra, Varda",,,,
FIN,3390,501,3,3,4,1,,1,4,2,2,3,1,2,,,10,4,0,"El-Ashmawi, Amal H","Nekkundi Babu Reddy, Anjana",,,,
FIN,3395,501,,6,5,7,6,4,,,,,,,,,10,,0,"Noland, Jeff",,,,,
FIN,4300,001,6,4,3,4,4,1,,1,,,,,,,7,2,0,"Tang, Xiaoxiao","Liu, Yajing",,,,
FIN,4300,002,6,8,5,7,8,2,,1,,,,,,,8,,2,"Tang, Xiaoxiao","Liu, Yajing",,,,
FIN,4300,003,3,8,7,2,6,2,3,,,,,,,,12,,0,"Tang, Xiaoxiao","Liu, Yajing",,,,
FIN,4300,005,2,5,6,5,6,1,,,,,,,,,4,,0,"Khanapure, Revansiddha B","Kurucak, Abdurrahman",,,,
FIN,4305,001,1,5,5,6,1,4,2,,,1,,,1,,3,1,3,"Manzi, Jeff",,,,,
FIN,4307,001,,12,14,,1,,,,,,,,,,3,,0,"Furst, Jack D",,,,,
FIN,4310,001,,,,1,,,,1,,,3,,,,10,,1,"Hasler, Michael","Huang, Zhuowei",,,,
FIN,4310,002,1,3,1,2,1,1,2,1,4,,1,,,,28,2,1,"Hasler, Michael","Huang, Zhuowei",,,,
FIN,4310,004,1,5,5,,5,6,2,2,3,,1,,,,15,4,0,"Anderson, Frank W",,,,,
FIN,4313,501,2,7,13,13,,,,,,,,,,,3,,0,"Sibley, Daniel C","Wendel, Alexa P",,,,
FIN,4315,001,1,2,3,3,1,,,,,,,,,,4,1,1,"Hyndman, Kyle B","Neal, Kemon",,,,
FIN,4321,501,1,8,2,1,4,1,,6,,,1,,,,7,,0,"Hedgecock, Blake M",,,,,
FIN,4332,001,3,8,6,3,,,,,,,,,1,,2,,0,"Richardson, Debra L",,,,,
FIN,4333,501,,2,,1,5,1,1,,1,,,,,,2,1,0,"Richardson, Debra L",,,,,
FIN,4340,001,4,1,1,1,2,1,1,,1,,,,,,4,,1,"Kaur, Dupinderjeet","Malhotra, Varda",,,,
FIN,4345,501,2,3,7,4,1,1,,2,,,,,,,5,,0,"Ayres, Jeffrey A",,,,,
FIN,4390,004,19,,,,,,,,,,,,,,,,0,"Manzi, Jeff","Treece, Gregory A",,,,
FIN,6301,002,,5,7,9,7,1,,,,,,,,9,,,4,"Springate, David J","Li, Bohan",,,,
FIN,6301,0W1,,12,4,,6,1,,3,,,,,4,12,,,8,"Day, Theodore",,,,,
FIN,6301,501,,12,8,6,7,,,,,,,,,8,,,1,"Nanda, Vikram K",,,,,
FIN,6301,AW1,,10,,5,3,,,,,,,,,1,,,0,"Reichert, Carolyn A",,,,,
FIN,6301,MBP,,17,6,7,4,,,1,,,,,,6,,,0,"Reichert, Carolyn A",,,,,
FIN,6301,SS1,,14,,,5,,,,,,,,,4,,,0,"Peabody, Stephen D",,,,,
FIN,6307,501,,11,6,,4,1,,,,,,,1,19,,,4,"Ma, Liping","Kim, Kyuri",,,,
FIN,6308,0W1,,4,3,4,4,2,,1,,,,,,7,,,1,"Lewin, Peter","Nguyen, Nam H",,,,
FIN,6310,501,,4,7,6,1,,,,,,,,,3,,,2,"Khanapure, Revansiddha B","Kurucak, Abdurrahman",,,,
FIN,6310,SS1,,15,1,2,,,,,,,,,,5,,,0,"Zhang, Huibing",,,,,
FIN,6314,0W1,,15,1,1,,,,1,,,,,,,,,1,"Manzi, Jeff",,,,,
FIN,6314,SS1,,5,1,2,2,,,,,,,,,13,,,0,"Zhao, Feng",,,,,
FIN,6315,0W1,,7,1,7,2,,,,,,,,1,1,,,3,"Pedigo, Madison F",,,,,
FIN,6316,501,,3,6,2,,,,,,,,,,4,,,0,"von Drathen, Christian",,,,,
FIN,6318,501,,5,2,,1,,,,,,,,1,14,,,1,"Day, Theodore","Huang, Zhuowei",,,,
FIN,6322,501,,16,2,4,1,,,,,,,,,4,,,0,"DeCourcy, George A",,,,,
FIN,6323,501,,6,,,,,,1,,,,,,3,,,0,"Crumpecker, Brad",,,,,
FIN,6325,501,,14,12,2,10,,,,,,,,,8,,,2,"Xia, Han","Zhao, Yabo",,,,
FIN,6330,501,,6,8,,,,,,,,,,,3,,,1,"Hyndman, Kyle B","Neal, Kemon",,,,
FIN,6335,501,,10,8,,,,,,,,,,,4,,,0,"Sibley, Daniel C","Wendel, Alexa P",,,,
FIN,6350,501,,6,1,2,,1,,1,,,,,,7,,,0,"Baranchuk, Nina",,,,,
FIN,6350,SS1,,6,,2,1,1,,,,,,,1,12,,,0,"Baranchuk, Nina",,,,,
FIN,6352,501,,11,8,4,4,,1,,,,,,,13,,,2,"Springate, David J","Li, Bohan",,,,
FIN,6352,502,,3,4,5,2,2,,,,,,,,1,,,3,"von Drathen, Christian","Li, Bohan",,,,
FIN,6353,501,,6,1,3,2,,,,,,,,1,6,,,3,"Day, Theodore","Huang, Zhuowei",,,,
FIN,6356,501,,12,10,4,1,,,,,,,,,7,,,1,"Davis, Richard L",,,,,
FIN,6360,001,,24,11,2,1,1,,,,,,,,5,,,2,"Kaur, Dupinderjeet","Malhotra, Varda",,,,
FIN,6368,001,,10,2,,1,,,1,,,,,,3,,,1,"Ma, Liping","Kim, Kyuri",,,,
FIN,6392,SS1,,6,6,4,,,,,,,,,,7,,,0,"Li, Jun",,,,,
FIN,7340,501,,,8,3,,,,,,,,,,,,,0,"Nanda, Vikram K",,,,,
FIN,7345,001,,2,12,1,,,,,,,,,,,,,0,"Gurun, Umit",,,,,
FREN,1312,001,,10,,,,,,,,,,,,,,,0,"Fettouh, Maha K",,,,,
GEOG,2302,001,2,2,2,6,3,1,1,,,,,,,,5,,1,"Cummings, Anthony R","Venigalla, Lasya",,,,
GEOG,3331,501,,3,3,8,5,1,2,3,,,,,,,3,,0,"Vakulenko, Irina","Chen, Meifang",,,,
GEOG,3370,501,1,6,6,7,9,1,1,2,1,1,,,,,7,,2,"Vakulenko, Irina","Chen, Meifang",,,,
GEOG,3372,001,,1,2,7,4,4,1,,1,2,,,1,,4,5,4,"Vakulenko, Irina","Chen, Meifang",,,,
GEOG,4396,001,1,9,3,2,,1,1,,,,,,1,,1,,0,"Vakulenko, Irina","Chen, Meifang",,,,
GEOS,1103,101,1,1,4,2,1,,,1,,,1,,,,5,,1,"Griffin, William R","Akatakpo, Solomon O",,,,
GEOS,1103,103,2,2,1,1,,1,,1,,,,,,,2,,0,"Griffin, William R","Akatakpo, Solomon O",,,,
GEOS,1104,101,9,8,,,,,,,,,,,,,,,1,"Pujana, Ignacio","Xiong, Kai","Luo, Bingxu",,,
GEOS,1303,001,1,,2,3,8,3,6,2,,,,,,,13,,1,"Manton, William I",,,,,
GEOS,1303,0W1,134,32,18,4,7,2,1,1,2,,,1,1,,8,7,1,"Pujana, Ignacio",,,,,
GEOS,1303,501,5,4,11,12,7,4,1,2,,,,,1,,9,1,2,"Griffin, William R","Haque, Ziaul","Sink, Katharine O",,,
GEOS,1304,001,3,4,5,4,1,,,,,,,,,,,,1,"Pujana, Ignacio","Xiong, Kai","Luo, Bingxu",,,
GEOS,2302,001,5,,1,2,2,1,,,,1,,,2,,,2,1,"Cummings, Anthony R","Venigalla, Lasya",,,,
GEOS,2310,001,2,5,5,7,1,2,1,1,2,,,,1,,10,,2,"Brikowski, Tom","Nichols, Naomi Ty Asha P","Fleischmann, Paula",,,
GEOS,2409,001,1,1,1,2,3,3,1,,,,,,,,7,1,1,"Manton, William I","Stine, Jonathan M",,,,
GEOS,3434,001,4,2,5,4,,,,,,,,,,,4,,0,"Pujana, Ignacio","Newman, Jordan W",,,,
GEOS,3470,001,3,3,1,3,2,5,1,1,1,,,,,,3,1,0,"Pirouz, Mortaza","Hiss, Kevin A","Johnson, Samuel P",,,
GEOS,4322,001,,3,,4,3,1,2,,,,,,,,7,1,0,"Manton, William I",,,,,
GEOS,5387,001,,8,3,2,1,,,,,,,,,,,,0,"Ferguson, John F","Quddusi, Muhammad Hassan",,,,
GISC,4317,501,,4,,1,1,,1,,,,,,1,,2,3,1,"Chastain, Bryan J","Shi, Fan",,,,
GISC,4325,001,1,4,,,4,,,,,,,,,,2,2,0,"Dean, Denis J","Shi, Zheng",,,,
GISC,4326,001,2,2,1,1,,2,,1,,,,,,,2,,0,"Chun, Yongwan","Yu, Xiaohe",,,,
GISC,4386,001,9,3,,1,1,1,,,,,,,1,,3,1,1,"Cummings, Anthony R","Liau, Yan-Ting",,,,
GISC,6317,501,,5,3,1,,2,,,,,,,1,1,,,1,"Chastain, Bryan J","Shi, Fan",,,,
GISC,6381,501,,6,4,,,,,,,,,,,,,,0,"Chun, Yongwan","Yu, Xiaohe",,,,
GISC,6384,001,,16,,,1,,,1,,,,,1,1,,,0,"Qiu, Fang","Venigalla, Lasya",,,,
GOVT,2305,001,11,20,18,16,20,18,14,22,12,8,7,5,9,,82,30,4,"Lowe, Evan","Shi, Min",,,,
GOVT,2305,002,3,38,27,22,43,15,10,7,3,3,,,13,,33,13,3,"Gray, Thomas","Gutierrez Mannix, Carlos Daniel",,,,
GOVT,2305,003,3,1,4,14,9,9,7,4,6,1,3,2,4,,13,2,1,"Hadley, Travis","Sianan, Marcus",,,,
GOVT,2305,501,,92,15,11,9,5,5,3,,1,,2,8,,11,4,1,"Lux, Ryan J","Dzanie, Raphael K",,,,
GOVT,2306,001,,89,58,28,24,16,7,2,,,,,1,,70,,5,"Elliott, Euel W","Oketch, Christine E",,,,
GOVT,2306,002,,107,19,13,13,7,3,3,3,,,,4,,19,9,6,"Lux, Ryan J","Dzanie, Raphael K",,,,
GOVT,2306,003,7,5,11,12,12,13,4,3,4,3,1,2,2,,21,4,2,"Hadley, Travis","Sianan, Marcus",,,,
GOVT,2306,004,40,48,46,15,15,14,10,5,3,,2,2,6,,71,18,3,"Lowe, Evan","Shi, Min",,,,
GOVT,2306,005,1,59,15,18,13,9,9,2,2,3,,4,4,,29,13,5,"Santoro, Lauren A","Eaton, John M",,,,
GOVT,2306,501,15,16,20,13,11,15,8,8,7,1,1,3,3,,31,9,3,"Hadley, Travis","Sianan, Marcus",,,,
GOVT,2306,HN1,,17,4,,,,,,,,,,1,,1,,2,"Dow, Douglas C",,,,,
GOVT,2306,HN2,,20,,1,,,,,,,,,,,3,,1,"Elliott, Euel W","Oketch, Christine E",,,,
GOVT,2306,HN3,,14,4,1,,,,,,,,,,,5,,0,"Elliott, Euel W","Oketch, Christine E",,,,
GST,2300,001,,5,4,1,,1,1,,,,,,,,2,,3,"Werhnyak, Larissa",,,,,
GST,4325,001,4,4,3,2,1,,1,4,1,,,,1,,,2,2,"Duquaine-Watson, Jill M",,,,,
HCS,6313,002,,5,5,2,1,,,,,,,,,3,,,0,"Ackerman, Robert A","Knoch, Desiree'",,,,
HCS,6341,001,,20,1,1,1,,,,,,,,,1,,,0,"Ploski, Jonathan E",,,,,
HCS,7121,001,,,,,,,,,,,,,,29,,,0,"Kroener, Sven",,,,,
HCS,7343,001,,6,,1,4,,,,,,,,,,,,1,"Thompson, Lucien",,,,,
HDCD,6316,001,,10,,,,,,,,,,,,1,,,0,"Ewing, Donna M",,,,,
HDCD,6390,001,,8,2,,,,,,,,,,,,,,0,"Baerwaldt, Natalie R",,,,,
HIST,1301,001,41,14,,8,2,,2,2,,,2,,4,,6,2,5,"Folsom, Bradley N","Menard, Bridget J","Payne, Nicholas A",,,
HIST,1301,002,44,15,,7,5,,3,2,,1,,,1,,7,2,2,"Folsom, Bradley N","Payne, Nicholas A","Menard, Bridget J",,,
HIST,1301,003,,27,24,8,11,2,,2,1,,,1,2,,8,,3,"Wright, Ben","Simmons, Alyssa",,,,
HIST,1302,001,2,7,2,2,12,2,6,6,5,,2,2,6,,13,8,8,"Johnson, Yvonne","Spencer, Brandy D",,,,
HIST,1302,002,3,18,22,27,33,11,7,7,2,1,,,11,,20,6,8,"Schulze, Jeffrey","Adrian, Athena","Williams, Harold T",,,
HIST,1302,003,,15,12,11,30,14,10,7,2,,1,1,4,,53,4,9,"Schulze, Jeffrey","Dunham, Daniel C","He, Tong",,,
HIST,1302,004,5,10,9,9,10,7,6,,,,1,,1,,24,4,4,"Johnson, Yvonne","Debic, Mathieu D","Klimchock, Carolee",,,
HIST,1302,005,7,16,7,11,8,7,2,2,,,,,1,,29,2,0,"Johnson, Yvonne","Martinez, Priscilla C","Klimchock, Carolee","Mayo, Teresa N",,
HIST,1302,006,7,42,3,11,3,2,,3,,,,,2,,12,2,2,"Pettengill, Ryan S","Sampson, Eric",,,,
HIST,1302,007,7,38,5,13,8,,1,,,1,,,,,14,2,0,"Pettengill, Ryan S","Lawrence, Jenna",,,,
HIST,1302,008,14,23,15,3,7,2,,1,,,1,,1,,17,4,1,"Stewart, Whitney","Jacobs, Janet K",,,,
HIST,2301,501,,12,3,8,19,2,2,10,2,1,6,,6,,13,2,3,"Volanto, Keith J","Varghese, Shawn",,,,
HIST,2341,001,,2,3,4,14,4,2,12,,,3,,,,19,2,1,"Farmer, J Michael","Scalley, Michael W",,,,
HIST,2384,001,,41,,,2,,,1,,,,,,,3,,1,"Fischer, Anne G",,,,,
HIST,3301,001,2,7,6,3,,,,,,,,,,,1,,0,"Admiral, Rosemary",,,,,
HIST,3301,501,,1,7,3,3,1,,,,,,,,,,,0,"Wilson, Michael",,,,,
HIST,3305,001,6,5,10,9,5,3,,,,,,,2,,5,2,0,"Pfister, Debra H",,,,,
HIST,3313,001,,4,12,6,9,2,1,4,,,,,,,9,,0,"Farmer, J Michael",,,,,
HIST,3327,501,,,4,3,,3,1,,,,,,,,,,1,"Dennis, Patrick W",,,,,
HIST,3374,001,,25,14,11,6,7,1,6,,,,,2,,4,,1,"Channell, David",,,,,
HIST,3377,001,,2,1,7,4,2,,,,,,,1,,2,,1,"Wickberg, Daniel",,,,,
HIST,3391,001,,22,2,,1,,,,,,,,,,3,2,2,"Rankin, Monica A","Rahman, Syed M",,,,
HIST,3396,001,2,2,1,3,1,1,5,2,1,,2,,2,,4,,0,"Schulze, Jeffrey",,,,,
HIST,4359,002,14,1,4,1,1,1,,,,,,,,,2,,1,"Gonzalez Corona, Pedro Jose",,,,,
HIST,4378,001,9,5,2,1,,,,,,,,,,,,,0,"Bennett, Jason H",,,,,
HIST,4381,001,5,3,3,2,1,,,1,,,,,2,,3,,0,"Hill, Kimberly D",,,,,
HIST,4382,001,2,16,6,1,1,,,,,,,,,,1,1,1,"Admiral, Rosemary",,,,,
HIST,4388,501,8,5,4,2,2,2,,,,,,,1,,3,,0,"Pfister, Debra H",,,,,
HIST,6335,001,,4,3,,,,,,,,,,,5,,,1,"Fischer, Anne G",,,,,
HIST,6365,001,,6,2,1,1,,,,,,,,,1,,,1,"Rankin, Monica A","Rahman, Syed M",,,,
HLTH,1100,001,,11,25,18,13,10,,1,3,,,,3,,165,10,5,"Byrnes, Kathleen A",,,,,
HLTH,1301,0W1,6,7,9,4,3,4,1,,1,,,,,,1,,2,"Baetge, Claire",,,,,
HLTH,1301,0W2,1,2,,3,2,2,,,,,,,1,,,,2,"Baetge, Claire",,,,,
HLTH,1322,0W1,,7,8,9,8,4,,2,1,,3,,2,,13,,1,"Day, Lora N",,,,,
HLTH,1322,0W2,,3,5,3,,1,,1,,,3,,,,8,2,3,"Day, Lora N",,,,,
HLTH,1322,0W3,,25,4,3,2,1,,,2,,1,,2,,12,3,2,"McBride, Rachael L",,,,,
HLTH,3101,0W1,,140,,,4,,,,,,,,,,5,,1,"Sandon, Lona",,,,,
HLTH,3101,0W2,,137,,,5,,,4,,,,,,,3,1,0,"Sandon, Lona",,,,,
HLTH,3101,0W3,,68,,,3,,,,,,2,,,,,1,1,"Sandon, Lona",,,,,
HLTH,3101,0W4,,68,,,3,,,1,,,,,,,3,,1,"Sandon, Lona",,,,,
HLTH,3301,001,,1,10,5,4,8,1,1,1,,,,,,7,,2,"Byrnes, Kathleen A",,,,,
HLTH,3305,001,3,5,5,3,1,1,,,,,,1,,,4,,0,"Stark, Azadeh T",,,,,
HLTH,3305,002,,19,33,11,3,2,,,,,,,,,2,,0,"Taylor, Donald E","Agrawal, Vithika",,,,
HLTH,3305,003,3,1,5,6,1,,,1,,,,,,,5,,1,"Stark, Azadeh T",,,,,
HLTH,3310,001,18,9,3,2,3,1,,2,,,,,,,2,,3,"Duquaine-Watson, Jill M",,,,,
HLTH,3310,002,17,11,11,3,3,1,1,,,,,1,,,2,,1,"Duquaine-Watson, Jill M",,,,,
HLTH,3315,001,,9,29,13,4,5,,1,,,,,,,63,2,2,"Byrnes, Kathleen A",,,,,
HLTH,4108,001,36,2,,,,,,,,,,,1,,,1,0,"Rainey, Anthony D",,,,,
HLTH,4305,001,4,1,,,5,,,,,,,,,,4,,1,"Stark, Azadeh T",,,,,
HLTH,4305,002,41,5,1,,,,,,,,,,2,,2,,0,"Dickey-Laprocido, Galen L",,,,,
HLTH,4305,003,9,6,11,2,3,1,,,,,,,,,8,,1,"Stark, Azadeh T",,,,,
HLTH,4306,001,12,8,8,4,3,1,,,,,,,,,3,1,0,"Savard, Ryan R",,,,,
HLTH,4306,002,7,3,,1,3,2,,1,1,,,,1,,4,,1,"Savard, Ryan R",,,,,
HLTH,4380,0W1,23,4,,,2,,,,,,,,,,,,0,"Edwards, Christopher W","Henry, Loreen S",,,,
HLTH,4380,0W2,20,5,,,1,2,,1,,,,,,,1,,0,"Edwards, Christopher W","Henry, Loreen S",,,,
HMGT,3100,001,,22,4,1,1,,,2,,,,,,,6,,0,"Henderson, Tom",,,,,
HMGT,3301,001,1,12,24,5,8,3,2,1,,,,,,,4,,0,"Thurgood, Keith L","Agrawal, Vithika",,,,
HMGT,3301,002,,5,6,5,5,4,,1,,,,,,,4,,0,"Thurgood, Keith L","Agrawal, Vithika",,,,
HMGT,3301,003,26,12,11,1,2,2,,,,,,,,,4,,1,"Walton, James W","Agrawal, Vithika",,,,
