Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,"Total W",Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BCOM,3310,501,,2,7,,7,12,,2,1,,1,,,0,"Steadham, Kyle S",,,,,
FIN,3320,007,6,6,,6,10,,2,,,,1,,,1,"Zhu, Yifan",,,,,
FIN,3350,001,,1,8,4,2,5,2,5,1,,,,2,2,"Anderson, Frank W",,,,,
FIN,4310,002,5,2,3,4,1,3,4,2,2,2,1,1,1,1,"Meier, Jean-Marie","Smith, Jake A",,,,
FIN,6307,001,,12,4,9,5,1,1,,,,,,,0,"Ma, Liping","Zhang, Xiang",,,,
IMS,6204,CW1,,22,5,4,1,,,,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,
MIS,6346,0W1,,22,5,3,2,,,,,,,,,0,"Perez, Jerry","Aarya, Aarya",,,,
MIS,6380,0W1,,7,7,4,5,3,5,1,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,
MKT,3330,003,6,9,3,4,1,2,2,2,1,,,1,1,0,"Amirpour, Semiramis",,,,,
MKT,3330,004,5,7,6,2,2,3,1,1,1,1,,,2,1,"Amirpour, Semiramis",,,,,
MKT,3330,005,12,8,3,3,,,1,1,,,1,,2,1,"Gafford, Jerome M",,,,,
OB,6332,CH1,,32,,,,,,,,,,,,0,"Behrendt, William",,,,,
OPRE,4350,001,3,3,2,3,4,4,2,1,1,1,,1,3,4,"Wang, Shouqiang","Sul, Inki",,,,
OPRE,6301,004,,13,,3,8,6,1,1,,,,,,0,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,
OPRE,6335,501,,7,4,6,7,5,,3,,,,,,0,"Bensoussan, Alain","Nguyen, Nam H",,,,
OPRE,6362,501,,19,7,,5,1,,,,,,,,0,"Janke, Scott M",,,,,
BIOL,3102,001,7,5,7,6,1,1,,1,,,1,1,1,1,"Sarcar, Subha N",,,,,
MATH,2413,005,2,3,2,6,3,1,1,4,1,2,,1,6,0,"Whalen, Tristan G",,,,,
MATH,2414,014,,3,5,4,,1,2,2,3,3,1,2,6,0,"Zhang, Yi",,,,,
PHYS,3330,001,,7,3,,4,,2,3,6,,,,7,0,"Da Silveira Rodrigues, Fabiano","Talebi, Shawhin",,,,
MATH,3310,002,,7,7,5,,3,3,1,,,,2,2,0,"Dabkowska, Malgorzata A",,,,,
MATH,3310,001,3,8,5,4,3,2,1,1,3,,,,2,0,"Dabkowska, Malgorzata A",,,,,
FIN,6301,GW1,,11,2,4,6,1,,4,,,,,1,2,"Reichert, Carolyn A",,,,,
PA,3380,0W1,3,6,7,5,4,1,,2,1,,,,3,0,"Cohen, Galia",,,,,
ACCT,6202,PS1,,20,5,,2,2,,3,,,,,,0,"Zolton, Kathy",,,,,
DANC,1310,0H2,8,12,7,2,1,2,,1,,,,,,0,"Owens, Misty",,,,,
ACN,6395,001,,14,,,14,,,5,,,,,,0,"Wig, Gagandeep S",,,,,
CLDP,3362,501,,16,,,12,,,4,,,1,,,0,"Grant, Meridith G","Zhao, Yuguang",,,,
PSY,3339,002,3,11,,2,2,5,3,3,1,,3,,,0,"Santrock, John W",,,,,
CS,3162,052,17,6,4,1,2,2,,,,1,,,,0,"Smith, Klyne",,,,,
CS,3354,501,,2,7,5,4,3,4,3,1,1,,,3,0,"Paulk, Mark C","Yu, Shimeng",,,,
CS,4349,HON,4,5,2,9,5,4,1,1,,,,,,2,"Willson, James K","Weinzierl, Maxwell A",,,,
ENGR,3341,004,1,5,6,2,4,7,5,2,,,,,,1,"Webb, Jennifer H","Hasan, Md Imrul",,,,
MECH,6351,001,,25,5,3,,,,,,,,,,0,"Qian, Dong","Wang, Yang",,,,
ECON,4333,001,8,7,2,2,6,,3,3,1,,1,,,0,"Siqueira, Kevin J","Nguyen, Hien T",,,,
PA,6321,501,,21,,,11,,,,,,,,,1,"Benavides, Teodoro J",,,,,
ED,4357,001,,27,4,,,,,,,,,,1,1,"Leek, Patricia A",,,,,
GST,2300,001,,5,3,3,11,3,,1,,,,1,2,4,"Smith, Erin",,,,,
HLTH,1301,0W2,,3,7,2,2,5,4,4,2,,1,,2,1,"Baetge, Claire",,,,,
ACCT,6353,501,,15,4,6,1,4,1,2,,,,,,0,"Gamino, John P",,,,,
BA,1100,502,12,11,3,1,,1,1,,1,,,1,2,0,"Lathen, Patricia A",,,,,
BCOM,3310,007,3,12,9,2,7,,,,,,,,,0,"Ahlberg, Mehrzad","Tanabe, Takuma",,,,
BLAW,2301,HON,,8,3,7,5,4,2,1,1,1,,1,,0,"Polze, Matthew M","Hoang, Quynh M",,,,
FIN,3365,001,4,6,5,4,2,2,3,4,2,1,,,,0,"DeCourcy, George A",,,,,
MIS,6319,001,,19,,,14,,,,,,,,,0,"Thompson, Luell O","Dutta, Snehasis",,,,
MKT,3330,007,16,3,2,6,1,2,,,2,,,,1,0,"Gafford, Jerome M",,,,,
MATH,6312,001,,21,5,3,1,3,,,,,,,,0,"Dabkowski, Mieczyslaw K","Wu, Che-Yu",,,,
STAT,3360,002,5,10,2,1,5,4,,1,,1,1,,2,0,"Chakraborty, Dipnil","Koshevnik, Yuly",,,,
MIS,6204,PS1,,25,,,4,,,3,,,,,,0,"Hefley, William E",,,,,
BCOM,3310,502,,2,7,13,5,3,1,,1,,,,1,0,"Armstead, Erica",,,,,
CS,2305,HN1,9,14,7,4,,,,,,,,,,0,"Bereg, Sergey",,,,,
CS,3162,555,14,7,4,1,1,2,1,1,,,,1,1,1,"Debroy, Vidroha",,,,,
CS,4347,002,2,4,5,4,6,2,7,,1,1,2,,,0,"Davis, Chris I","Hu, Yibo","Shahbazi, Nima",,,
ENGR,3300,503,,9,,3,6,,6,1,,3,2,,2,2,"Nakhaei, Mofid","Liang, Jingchen",,,,
MECH,2310,003,4,,1,1,1,2,8,,3,3,5,1,3,2,"Wilt, James C","Nguyen, Cuong P",,,,
ECON,2301,004,7,5,3,2,3,3,2,3,,,,,6,0,"Kwak, Jihun",,,,,
BCOM,3310,002,2,18,4,1,4,2,,1,,1,,,1,0,"Walton, Michaella",,,,,
BCOM,3310,009,1,10,10,5,3,4,,,1,,,,,0,"McCrady, Victoria D",,,,,
BCOM,3310,011,,2,7,10,3,9,1,2,,,,,,0,"Miller, Alyssa",,,,,
HMGT,6330,501,,11,9,6,6,2,,,,,,,,0,"Drummond, Jeffery P",,,,,
ITSS,4360,002,,3,8,4,9,5,4,,,,,,1,0,"Thirumalai, Nambi","Jadhav, Sukruta",,,,
OPRE,3310,007,4,5,2,4,12,3,,4,,,,,,0,"Parks, David","Takasi, Venkanna Dora Goutham",,,,
BIOL,3455,303,1,1,5,4,4,4,1,3,1,,2,,6,2,"Ramirez, Ruben D",,,,,
CHEM,5331,001,,7,6,9,8,2,,1,,,,,,1,"Gassensmith, Jeremiah J",,,,,
GEOS,2310,001,5,5,3,3,5,2,3,2,2,1,1,,,2,"Brikowski, Tom","Nichols, Naomi Ty Asha P",,,,
MATH,1316,002,2,3,,2,3,2,3,2,6,,2,,7,2,"Sutton, Julie","Hewawaduge, Dhanushki B","Xu, Xiufeng",,,
MATH,2413,004,1,,3,4,2,4,6,4,1,4,,,3,2,"Lou, Yifei",,,,,
NATS,1101,008,,28,,4,1,,,,,,,,1,0,"Meedel, Jennifer",,,,,
NATS,1101,018,20,6,3,2,1,,1,,,,,,,1,"Treter, Donald R",,,,,
BPS,6310,0W1,,13,5,9,6,1,,,,,,,,0,"Chasteen, Larry H","Teschner, Ryan S",,,,
ENTP,3301,501,,,12,3,12,6,,,,,,,1,0,"Peck, Paul S",,,,,
BCOM,3310,001,,7,7,6,4,,,2,1,2,1,,4,0,"Walton, Michaella",,,,,
DANC,1310,0H1,1,21,4,2,3,2,1,,,,,,,0,"Saba, Monica",,,,,
PSY,3362,001,,12,1,2,8,,,8,,,,,3,1,"Mills, Candice M","Wu, Sining",,,,
BMEN,3315,501,1,13,2,1,9,2,2,4,,,,,1,0,"Cogan, Stuart","Wu, Yupeng",,,,
CS,1337,501,1,5,2,5,11,,1,2,2,1,1,,2,2,"Oladimeji, Ebenezer A",,,,,
CS,1337,502,5,5,1,1,1,5,4,3,,,,,8,2,"Perkins, Stephen J",,,,,
CS,3162,092,10,9,9,1,1,2,3,,,,,,,0,"Smith, Klyne",,,,,
CS,3377,002,3,10,8,5,,3,1,3,,,1,1,,0,"Peterson, Erik A",,,,,
EE,4388,003,,16,4,10,5,,,,,,,,,0,"Skinner, Neal G","Nguyen, Van Thuan",,,,
MECH,3105,103,5,5,2,5,3,3,1,3,5,,,,2,1,"Rios, Oziel","Sadeh, Sepehr",,,,
MECH,3305,001,1,6,5,1,8,4,1,2,1,,3,,2,1,"Rios, Oziel","Almubarak, Yara",,,,
ECON,4351,001,14,10,1,3,5,1,,,1,,,,,0,"O'Brien, Daniel M","Li, Ji",,,,
ACCT,4334,PP2,,7,,,27,,,1,,,,,,0,"Linsteadt, Chris C","Sauer, Ashlyn M",,,,
ACCT,6386,001,,9,7,7,11,1,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
BCOM,3310,004,,15,14,4,2,,,,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,
BCOM,3310,005,,13,14,2,4,,1,,,,,,1,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,
BCOM,3310,006,,10,15,,7,,,1,,,2,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,
BCOM,3310,008,2,13,15,4,1,,,,,,,,,0,"Moore, Sarah E","Tanabe, Takuma",,,,
BCOM,3310,010,19,9,2,1,2,1,1,,,,,,,0,"de los Santos, Veronica",,,,,
BCOM,3310,012,3,6,9,4,5,4,,1,2,,,,1,0,"Fry, Jennifer L",,,,,
BCOM,3310,013,,3,11,8,3,3,5,1,1,,,,,0,"Miller, Alyssa",,,,,
BCOM,3310,503,3,15,12,1,2,2,,,,,,,,0,"Ahlberg, Mehrzad","Tanabe, Takuma",,,,
BLAW,2301,HO2,,11,2,2,5,2,2,2,2,5,1,1,,0,"Polze, Matthew M","Hoang, Quynh M",,,,
BPS,4305,006,3,4,6,4,10,5,,2,,,1,,,0,"Xia, Jun","Deng, Shu",,,,
BUAN,6346,002,,32,1,2,,,,,,,,,,0,"Elkhodari, Gasan","Sultana, Yasmin",,,,
IMS,3310,0E1,,9,1,10,,,2,3,,,5,1,2,2,"Henderson, Tom",,,,,
ITSS,4354,001,,1,6,1,4,10,3,5,3,,,,1,1,"Rao, Mukund","Mehta, Utsav K",,,,
MECO,6303,MBP,,19,7,4,2,2,,,,,,,,1,"Siegenthaler, Simon","Chen, Xi",,,,
MIS,6349,001,,27,4,3,1,,,,,,,,,0,"Shekhar, Gaurav","Mehta, Utsav K",,,,
MKT,6301,002,,8,1,10,13,2,1,,,,,,,0,"Kuksov, Dmitri","Elmi, Omid",,,,
OB,6301,CW1,,33,,,,,,,,,,,2,0,"Ferrante, Anne M",,,,,
OPRE,6371,501,,16,5,7,7,,,,,,,,,0,"Hu, Bin","Birajdar, Namrata O",,,,
BIOL,2350,002,12,15,1,1,2,1,2,,1,,,,,0,"Sapozhnikov, Ilya",,,,,
BIOL,3455,304,4,1,2,3,2,3,3,1,1,3,2,2,4,4,"Maitra, Meenakshi","Ramirez, Ruben D",,,,
BIOL,3455,305,2,1,2,5,2,3,4,2,4,2,2,3,2,1,"Maitra, Meenakshi","Ramirez, Ruben D",,,,
BIOL,3455,307,1,2,4,3,6,7,1,3,2,,3,1,1,1,"Maitra, Meenakshi","Ramirez, Ruben D",,,,
BIOL,3455,801,1,3,4,1,1,5,4,2,3,2,,2,6,1,"Ramirez, Ruben D","Wu, Zhuoru","Langley, Lyndsey E",,,
MATH,2312,005,2,,2,2,7,3,1,7,4,2,1,2,1,1,"Martynova, Irina",,,,,
MATH,4301,002,3,9,4,6,2,1,1,5,2,2,,,,0,"Ramakrishna, Viswanath","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,
NATS,1101,003,23,8,2,1,,,,1,,,,,,0,"Biewer, Michael C",,,,,
NATS,1101,011,25,6,,1,1,1,,,,,,,,1,"Biedebach, Jacob",,,,,
ACN,6V81,001,,25,6,4,,,,,,,,,,0,"Moller, Aage R",,,,,
EESC,6364,001,,10,8,10,5,2,,,,,,,,0,"Kehtarnavaz, Nasser","Taghizadeh Alamdari, Nasim",,,,
CRIM,3301,001,15,7,4,1,,3,1,3,,1,,,,0,"Laprade, Jennifer M",,,,,
BIOL,3455,301,,2,4,4,2,7,,5,2,3,1,3,1,1,"Wilson, Michelle","Ramirez, Ruben D","Zhang, Bei",,,
BIOL,3455,306,3,2,5,4,2,7,5,,3,1,1,,1,1,"Maitra, Meenakshi","Ramirez, Ruben D",,,,
HIST,3386,501,6,12,,3,4,,,9,,,,,2,0,"Bocchine, Kristin",,,,,
MUSI,3118,501,,35,,,1,,,,,,,,,0,"Ming, Adron",,,,,
BBSU,1100,010,15,9,,2,2,1,2,1,,,1,1,1,1,"Boynton, Catherine V",,,,,
CS,3162,051,,16,,2,9,1,1,3,1,,,,1,2,"Chin, Wei-Pang",,,,,
CS,4376,001,7,10,8,3,4,4,,,,,,,,0,"Zalila-Wenkstern, Rym","Zhu, Chang",,,,
CS,6364,001,,9,10,10,5,,,2,,,,,,0,"Min, Richard K","Wang, Yigong","Aggarwal, Alakh",,,
EE,2310,001,14,4,1,,5,,2,2,1,,,1,3,3,"Dodge, Nathan B","Chen, Pengyuan","Gao, Tianning","Kiwan, Doaa M",,
EE,3350,002,3,6,4,3,3,3,,2,4,1,3,,3,1,"Ahmed, Shaheen","Fonseka, Sebastian P",,,,
EE,4301,501,5,2,2,1,7,3,3,9,4,,,,,0,"Heins, Matthew S","Abbas, Farhat","Gandluru, Veerabharathchandrareddy",,,
CRIM,3327,0W1,,5,1,4,6,6,1,5,1,,1,1,5,0,"Huskey, Michael",,,,,
ACCT,4336,001,6,3,6,2,5,4,5,5,,,,,,0,"Bowen, Richard M","Wilson, Ravin M",,,,
FIN,3305,501,4,9,3,9,3,1,4,2,,1,,,,0,"DeCourcy, George A",,,,,
FIN,6301,001,,5,7,9,5,2,2,2,,,,,2,2,"Xu, Yexiao","Kim, Sang Hyun",,,,
ITSS,4301,501,3,6,6,5,4,4,2,2,2,,,,1,1,"Hagen, John C","Rajendran, Adityan",,,,
MKT,3300,0E1,,9,11,7,5,3,,,,,,,1,0,"Meda, Edward","Shah, Nikhil","Mostafa, Ahmed H",,,
MKT,4330,001,3,11,7,8,3,2,1,1,,,,,,0,"Pacyna, Sandra",,,,,
MKT,4331,001,2,14,3,1,9,2,1,1,,,,,1,2,"Dover, Howard F",,,,,
MKT,6352,501,,8,9,9,5,4,,,,,,,,1,"Friedman, Joshua B","Mostafa, Ahmed H",,,,
BIOL,3455,302,3,4,6,4,1,3,3,5,1,,1,1,,4,"Ramirez, Ruben D",,,,,
BIOL,3456,301,1,9,3,6,2,3,2,5,4,1,,,,0,"Yu, Wen H","Sarcar, Subha N","Jia, Kun",,,
BIOL,3456,302,3,11,3,5,1,2,1,1,2,1,,2,4,0,"Yu, Wen H","Sarcar, Subha N","Jia, Kun",,,
BIOL,3456,303,2,8,4,1,2,4,6,1,3,1,,1,1,2,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,
BIOL,3456,304,2,4,8,7,1,5,1,1,1,1,2,1,2,0,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,
BIOL,4385,001,,18,6,2,5,1,1,2,,,,,,1,"Murchison, David F",,,,,
NATS,1101,002,25,5,1,1,1,,,,,,,,3,0,"Goeckner, Matthew",,,,,
NATS,1101,007,20,7,5,1,,,,1,,,1,,1,0,"Biewer, Michael C",,,,,
NATS,1101,013,15,16,2,1,2,,,,,,,,,0,"Biewer, Michael C",,,,,
NATS,1101,017,22,11,,1,1,,,,,,,,1,0,"Elgin, Linda",,,,,
NATS,1101,021,22,10,2,1,1,,,,,,,,,0,"Hill, Victoria",,,,,
NATS,1101,022,19,8,6,,2,,1,,,,,,,0,"Hill, Victoria",,,,,
NATS,1101,023,24,5,3,1,1,1,,1,,,,,,0,"Elgin, Linda",,,,,
CS,6326,001,,14,6,2,12,1,,1,,,,,,0,"Cole, John","Benton, Samuel D",,,,
MECH,3305,002,5,8,8,3,3,2,2,2,1,,,,,2,"Tadesse, Yonas T","Karami, Farzad",,,,
NATS,1101,010,15,15,5,,,,,,,,,,,0,"Geissman, John W","Johnson, Samuel P",,,,
AHST,4342,001,,8,5,6,6,4,2,3,,,,,2,1,"Terranova, Charissa",,,,,
LIT,3300,001,,20,7,5,4,1,,,,,,,,0,"Towner, Theresa",,,,,
PHIL,3323,001,1,10,9,3,7,,,,,1,,,4,2,"Davies, Katherine",,,,,
CE,3310,002,1,9,3,4,4,4,3,5,2,,,,2,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,
CS,3162,093,12,12,4,2,,5,1,1,,,,,,0,"DeGroot, Doug",,,,,
CS,6363,501,,15,4,2,7,4,1,3,,,,,1,0,"Daescu, Ovidiu","Weinzierl, Maxwell A",,,,
MECH,3105,102,2,8,3,6,8,5,,,,2,,1,1,1,"Rios, Oziel","Sadeh, Sepehr",,,,
CRIM,3303,001,1,5,11,2,8,5,3,,1,,,,1,0,"Gammell, Sarah P",,,,,
ECON,2302,501,2,4,1,3,6,4,5,6,,,3,,1,2,"Shi, Tianjian",,,,,
ECON,3311,001,2,16,2,1,6,2,2,2,,,1,,2,1,"Grover, William C",,,,,
ECON,4340,001,5,14,1,4,3,,3,5,,,1,,1,0,"Andrews, Rodney J","Bing, Yuanchen",,,,
ECON,4360,001,8,8,2,3,3,,3,2,2,3,2,,1,0,"Siqueira, Kevin J","Nguyen, Hien T",,,,
ACCT,3341,001,2,6,7,5,4,2,4,2,2,,1,,,2,"Janakiraman, Surya","Zhang, Yang",,,,
BPS,4305,004,,9,7,5,5,8,,1,1,,,,1,0,"Kwon, Jung-Hyun",,,,,
BUAN,6337,0W1,,9,5,13,5,,,2,,,,,,3,"Subramanian, Upender","Saremi, Ehsan","Lee, Ga Hyun",,,
BUAN,6356,005,,14,8,6,,3,2,2,,,,,2,0,"Thouin, Mark","Rajput, Vishakha Prakash",,,,
ENTP,6370,0W1,,4,11,6,11,4,,,,,,,,1,"Kimzey, Jackie","Saini, Aditya",,,,
FIN,3390,002,5,6,,3,4,2,1,2,2,2,3,2,2,3,"El-Ashmawi, Amal H","Nguyen, Hung X",,,,
MATH,2370,002,5,9,5,4,2,,1,3,4,1,,1,1,1,"Garrett, Bentley T","Kozareva, Tamara",,,,
MATH,2414,013,,3,2,4,6,1,2,4,5,,1,1,7,1,"Zhang, Yi",,,,,
MATH,2417,009,7,2,6,1,3,4,1,1,7,,,1,3,1,"Ding, Hui",,,,,
NATS,1101,001,29,3,1,1,2,,,1,,,,,,0,"Goeckner, Matthew",,,,,
NATS,1101,004,23,12,,,1,,,,,,1,,,0,"Biewer, Michael C",,,,,
NATS,1101,005,31,2,1,,,,1,,1,,,,1,0,"Biedebach, Jacob",,,,,
NATS,1101,006,16,10,3,,4,1,,,2,,,,1,0,"Biewer, Michael C",,,,,
NATS,1101,009,,33,,2,1,,,1,,,,,,0,"Meedel, Jennifer",,,,,
NATS,1101,012,17,15,3,1,1,,,,,,,,,0,"Biewer, Michael C",,,,,
ACN,6341,0W1,1,35,1,,,,,,,,,,,0,"Orrick, Erika D",,,,,
OB,6301,XS1,,15,19,1,1,,,,,,,,1,0,"Hicks, Jeffrey N",,,,,
ATCM,1100,005,26,3,4,,,3,,,,,,2,,0,"Camacho, Christopher J","Beverly, Diamond E","Flores, Carlin E",,,
ACN,6346,001,,25,4,2,1,2,1,,,,,,,3,"Thompson, Lucien",,,,,
PSY,4323,001,4,3,2,7,5,6,3,4,,2,,,1,1,"Park, Jiyoung",,,,,
PSY,4344,001,14,11,5,1,1,5,1,,,,,,,0,"Ward, Felicia",,,,,
BMEN,2320,002,11,5,1,3,4,3,1,1,2,4,1,,2,0,"Fey, Nicholas","Childress, Joshua",,,,
CE,4348,501,,10,,,12,,,15,,,,,1,0,"Goodrum, Richard A","Eltigani Osman Abaker, Mohamedelfatih",,,,
CS,1337,001,7,5,8,5,1,1,1,1,3,,3,,3,0,"Dollinger, Scott M",,,,,
CS,4337,001,12,3,3,3,6,3,2,,1,,,,4,1,"Karami, Gity","Wang, Yigong",,,,
CS,6314,001,,18,10,8,1,,,1,,,,,,0,"Yuruk, Nurcan","Yadlapalli, Yaswanth",,,,
MECH,2340,001,17,12,4,4,1,,,,,,,,,0,"Fey, Ann Majewicz","Madera, Jonathan","Zheng, Yi",,,
MECH,3105,101,3,9,6,4,6,5,,,3,,,1,,1,"Rios, Oziel","Sadeh, Sepehr",,,,
ECON,4302,001,4,6,6,5,3,8,3,1,,,1,,1,0,"Giertz, Seth","Yue, Wanwan","Choi, Soohyun",,,
ECON,4310,001,2,7,1,6,18,,2,,,,,,,2,"Arce, Daniel G",,,,,
HLTH,4306,001,10,4,8,1,2,8,1,1,,,1,2,,0,"Savard, Ryan R",,,,,
ACCT,3350,002,12,3,3,2,5,1,1,3,,2,4,1,1,0,"Gamino, John P",,,,,
ACCT,4334,501,,9,,,13,,,13,,,1,,,2,"Linsteadt, Chris C","Sauer, Ashlyn M",,,,
ACCT,6301,XS1,,6,14,9,5,4,,,,,,,,0,"Ali, Ashiq","Nathan, Brad",,,,
BA,1100,016,,8,,,2,,,3,,,4,,21,0,"Henderson, Tom",,,,,
BUAN,6335,501,,33,4,,,,,,,,,,,1,"Narayan, Ravishankar L","Kasturi, Sai Nikhilesh",,,,
BUAN,6357,002,,6,10,8,7,6,,,,,,,,1,"Chatterjee, Sourav","Mehta, Sameer","Rajendran, Adityan",,,
FIN,3320,010,2,4,2,8,,3,4,2,2,2,4,,4,1,"Cordell, David M","Abondo Otounga, Tomy Shelby J",,,,
FIN,3350,002,1,3,15,2,5,6,2,2,,,1,,1,0,"Anderson, Frank W",,,,,
FIN,4300,003,,8,1,1,6,2,2,7,,,6,2,3,0,"Wei, Kelsey D","Lee, Pil-Seng",,,,
FIN,6310,501,,13,5,9,7,2,,,,,,,1,1,"Xu, Yexiao","Kim, Sang Hyun",,,,
IMS,3310,HON,5,5,4,18,4,1,,1,,,,,,0,"Hazzard, Charles F","Mohod, Vaishnavi A",,,,
IMS,6304,501,,17,,1,20,,,,,,,,,0,"Peng, Mike","Neumannova, Anita",,,,
ITSS,4343,001,1,3,5,5,14,3,4,,,,2,,,1,"Subramoniam, Ramesh","Pandita, Binny",,,,
MECO,6303,XS1,,9,15,4,4,3,2,1,,,,,,0,"Kiser, Stephen L","Kadiwala, Shermin R",,,,
MIS,6302,0W1,,11,20,6,,,,1,,,,,,0,"Majumdar, Sumit K","Mishra, Sailendra P",,,,
MIS,6330,001,,14,9,14,1,,,,,,,,,0,"Lahiri, Atanu","Kapadia, Hemanshu M",,,,
MIS,6356,502,,10,7,7,11,2,1,,,,,,,0,"Chatterjee, Sourav","Jadhav, Sharvari Vikas",,,,
MKT,4330,0W2,5,4,6,3,4,5,,1,,4,,3,2,1,"Edsel, Alexander D",,,,,
MKT,4380,002,2,31,3,,1,,,,,,,,1,0,"Haworth, Julie B",,,,,
MKT,6342,501,,15,6,9,8,,,,,,,,,0,"Kavanaugh, Jeff L",,,,,
OPRE,6301,XS1,,22,6,3,3,3,,1,,,,,,0,"Bush, Rhonda L",,,,,
BIOL,2111,008,5,7,1,4,4,2,,8,2,2,1,1,1,0,"Srikanth, Uma",,,,,
BIOL,3355,502,18,12,1,,4,2,,,,,1,,,0,"Sapozhnikov, Ilya",,,,,
MATH,2413,029,2,,3,5,3,2,3,2,1,2,4,2,7,2,"Chika, Charles E",,,,,
MATH,2417,005,8,2,,5,4,3,,1,3,,1,1,10,0,"Ahsan, Mohammad K",,,,,
STAT,4351,502,12,6,2,1,3,3,2,,,,4,,4,1,"Tang, Chuan-Fa","Koshevnik, Yuly","Zhou, Qinyi",,,
ARHM,3342,002,2,13,11,3,4,,1,1,1,,,,2,0,"Pfister, Debra H",,,,,
BIOL,3101,007,,2,5,2,3,5,4,10,5,1,,,1,0,"Dejong, Jeff L","Smith, Patrick R",,,,
ECON,3310,002,11,10,,2,6,1,1,4,,2,,,,1,"Andrews, Rodney J","Bing, Yuanchen",,,,
ACCT,4337,501,,7,8,7,7,2,1,5,1,,,,,0,"Richards, James R",,,,,
BUAN,6312,0W1,,8,5,6,5,9,3,2,,,,,,0,"Blueshtein, Moran","Smith, Jake A","Chen, Chuang",,,
BUAN,6398,003,,18,1,3,6,2,2,6,,,,,,0,"Alimirzaei, Athena","Gorantla, Pavan Sai Krishna C",,,,
FIN,3390,501,1,8,,1,3,2,1,4,4,3,1,3,2,5,"El-Ashmawi, Amal H","Nguyen, Hung X",,,,
FIN,4300,001,,7,,3,6,,3,6,1,,6,3,3,0,"Wei, Kelsey D","Lee, Pil-Seng",,,,
ATCM,3380,001,,3,6,8,10,4,3,2,1,1,,,1,0,"Bell, Elizabeth A","Whitlock, Kathryn",,,,
BBSU,1100,001,21,4,3,2,1,4,,1,1,,,,1,1,"Flowers, Ashley S",,,,,
BBSU,1100,011,6,10,9,3,2,3,2,1,2,1,,,,0,"Ritchie, Kathleen",,,,,
BBSU,1100,012,3,12,8,2,1,4,2,3,,1,,3,,0,"Ritchie, Kathleen",,,,,
NSC,4366,002,7,6,2,1,4,2,1,6,2,1,2,,4,1,"Taylor, Anna M",,,,,
CS,3354,0W1,3,9,4,7,11,2,1,2,,,,,,0,"Kumar, Pushpa S","Haque, Wasif A",,,,
CS,6349,001,,10,9,7,9,2,1,,,,,,,1,"Sarac, Kamil","Garg, Srishti",,,,
CS,6385,001,,24,5,2,7,,,,,,,,,1,"Farago, Andras","Duan, Jun",,,,
EE,4340,001,2,15,1,5,5,2,2,2,4,,,,,1,"Ma, Dongsheng","Du, Lixiong",,,,
MECH,3150,102,1,14,15,6,,2,,,1,,,,,0,"Park, Wooram","Ahsan, Faraz",,,,
ECON,3310,501,7,1,3,2,1,3,4,3,3,3,4,2,2,1,"Ramezani, Rasoul",,,,,
HLTH,1301,0W1,,2,11,7,4,3,3,2,2,1,1,,2,1,"Baetge, Claire",,,,,
ISIS,4304,001,,6,3,10,7,3,3,3,,1,1,,2,0,"Werhnyak, Larissa",,,,,
ACCT,6344,001,,12,4,10,12,,,,,,,,,1,"Bowen, Richard M","Wilson, Ravin M",,,,
ACCT,6373,501,,16,,3,19,,1,,,,,,,0,"Karnuta, Daniel","Nunez, Belinda A",,,,
BA,1320,001,2,5,3,7,8,5,2,1,3,,2,,1,0,"Blueshtein, Moran","Chen, Chuang","Smith, Jake A",,,
BUAN,6341,0W1,,17,8,11,1,2,,,,,,,,0,"Sohaee, Nassim","Patil, Suhas",,,,
BUAN,6356,501,,12,10,6,4,2,,1,,,,,2,2,"Parker, Jason A","Rawat, Manavi",,,,
FIN,3390,004,15,2,4,4,1,3,1,2,6,,,,1,0,"Kaur, Dupinderjeet","Malhotra, Varda",,,,
FIN,6307,501,,14,6,5,4,3,4,,,,,,,3,"Ma, Liping","Zhang, Xiang",,,,
MKT,4350,001,4,4,5,6,10,7,1,,,,,,2,0,"Biswas, Abhijit","Iyer, Smruti Viswanath","Shetty, Reema R","Kulkarni, Chinmayi S",,
MKT,6301,501,,11,5,12,8,2,1,,,,,,,0,"Rajaratnam, Daniel",,,,,
MKT,6330,0W1,,9,10,12,5,,1,1,,,,,,1,"Biswas, Abhijit","Iyer, Smruti Viswanath","Kulkarni, Chinmayi S",,,
OPRE,3320,001,5,6,,8,7,,5,3,,,,,5,0,"Mozik, Vince C","Vu, Duc D",,,,
