Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
OPRE,6301,0W1,,5,8,10,9,7,1,2,,,,,4,,,"Leach, Sonia E","Celik, Beyza",,,,
OPRE,6301,5U1,,8,7,2,7,6,3,1,,,,,,,,"Ahadi, Khatereh","Vu, Duc D",,,,
OPRE,6301,5U3,,6,2,5,4,1,1,1,,,,,,,,"Ahadi, Khatereh","Vu, Duc D",,,,
OPRE,6301,CH1,,6,4,1,,2,,1,,,,,,,,"Kim, Dohyeong",,,,,
OPRE,6302,0W1,,15,14,10,4,1,,,,,,,,,,"Dawande, Milind","Vu, Duc D",,,,
OPRE,6302,5U1,,3,4,5,2,2,3,,,,,,,,,"Leach, Sonia E","Celik, Beyza",,,,
OPRE,6302,MBP,,21,9,4,5,,,,,,,,,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,
OPRE,6302,PU1,,24,,1,1,,,,,,,,,,,"Widdifield, David S",,,,,
OPRE,6332,5U1,,40,10,3,2,2,2,,,,,,,,,"Ramanathan, Kannan","Zhang, Minmin",,,,
OPRE,6362,5U1,,11,7,1,1,1,1,,,,,,,,,"Janke, Scott M",,,,,
PA,4355,0U1,9,10,6,1,1,,,,,,,,,,,"Noor, Muhammad Zeeshan",,,,,
PA,6335,5U1,,32,,,5,,,,,,,,,,,"Miori, Holly H",,,,,
PA,6344,0W1,,42,,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,
PA,8330,HN1,,19,1,1,,,,1,,,,,,,,"Shute, William H","Chin, Michelle L",,,,
PHIL,1301,091,,2,3,1,6,6,3,6,3,2,,,5,,,"Hasler, Carl","Suller, Cristian Carlo L",,,,
PHIL,3328,091,,2,4,1,5,4,,1,,,,,1,,,"Dennis, Patrick W",,,,,
PHYS,1301,0U1,8,17,15,15,4,,1,,,,1,1,2,,,"Khan, Amena","Schussler, Joshua A","Ali, Saif",,,
PHYS,1302,1U1,25,9,2,1,2,,1,,,,,,1,,,"Malko, Anton V","Marder, Andrew A","Mahmud, Mohammad M",,,
PHYS,2125,1U1,2,19,4,,,,,,,,,,2,,,"Sun, Kuei","Panthi, Hari P","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .",
PHYS,2125,1U2,4,15,3,3,,1,,,,,,,,,,"Sun, Kuei","Panthi, Hari P","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .",
PHYS,2125,1U3,6,13,,4,2,,,,,,,,1,,,"Sun, Kuei","Sharon Felix, .","Dhale, Nikhil Uday","Iqbal, Mazhar","Panthi, Hari P",
PHYS,2125,1U4,1,11,,,,,,,,,,,2,,,"Sun, Kuei","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .","Panthi, Hari P",
PHYS,2126,1U1,22,7,,2,,,,,,,,,,,,"Macalevey, Paul J","Dey, Soumyajit",,,,
PHYS,2126,1U2,17,6,4,,,,,,,,,,2,,,"Macalevey, Paul J","Fluckey, Stephen P",,,,
PHYS,2126,1U3,18,6,1,1,,,1,,,,,,,,,"Macalevey, Paul J","Koirala, Pawan",,,,
PHYS,2126,1U4,12,9,7,1,,,,,,,,,,,,"Macalevey, Paul J","Larsen, Cody",,,,
PHYS,2325,0U1,17,30,7,1,2,,1,1,1,,1,,2,,,"Ishak-Boushaki, Mustapha","Chinthak Murali, .","Waczak, John",,,
PHYS,2326,0U1,1,32,27,21,5,2,2,,,,1,1,,,,"Gartstein, Yuri","Romero, Angel E","Du, Mengxin",,,
PPPE,7V26,0U1,,21,,,,,,,,,,,,,,"Elliott, Euel W","Yuan, Jing",,,,
PSCI,3310,0U1,6,5,9,3,2,1,2,,,1,1,,,,,"Rabbi, Md. Fazle",,,,,
PSCI,3323,0U1,9,9,14,4,2,1,,,2,,,,,,,"Parker, Misty D",,,,,
PSY,2301,0H1,9,8,10,8,4,3,1,,1,1,,1,6,,,"Brody, Salena M","Redig, Samantha L",,,,
PSY,2317,0U1,,,10,4,3,2,1,2,,2,1,,2,,,"Schwark, Gayle","Malaiya, Ritesh K",,,,
PSY,3310,5U1,5,7,8,8,6,8,2,3,4,,,1,3,,,"Smith, Olivia","Hafiz, Mariam",,,,
PSY,3331,0U1,,50,8,3,6,1,1,5,2,1,3,,8,,,"Huxtable-Jester, Karen J","Zhu, Yiyi",,,,
PSY,3342,0U1,15,12,2,2,,,,,1,,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,
PSY,3360,0U1,1,6,10,19,9,8,5,3,1,2,,,3,,,"Assmann, Peter","Pattisapu, Candice N",,,,
PSY,3361,0U1,4,3,19,2,8,3,4,3,2,3,2,,3,,,"Cavazos, Jacqueline G","Lung, Tzu-Chen",,,,
PSY,3370,0U1,45,9,10,6,1,1,2,1,,,,,2,,,"Helfers, Samantha","Williams, Denise D",,,,
PSY,3392,0U1,13,12,6,1,9,1,,1,,,,,4,,,"Schwark, Gayle","Gryder, Kieth",,,,
PSY,3393,0U1,,2,1,5,4,2,2,2,1,1,,,,,,"Ybarra, Regina K","Mizener, Brendon J",,,,
PSY,3393,5U1,4,2,1,4,1,,2,,,,,,2,,,"Raman, Rachna","Holmes, Melanie C",,,,
PSY,4343,0U1,,43,13,11,11,1,1,4,3,1,,,2,,,"Ybarra, Regina K","Wu, Sining",,,,
PSY,4346,0U1,24,31,2,4,5,,2,1,2,,1,1,2,,,"Gentsch, Joanna K","Wilder, Siri",,,,
PSY,4V90,0H1,,3,9,3,1,,1,,,,,,,,,"Brody, Salena M",,,,,
REAL,3305,5U1,,3,1,,6,3,,1,1,,,,1,,,"Guttery, Randall",,,,,
REAL,6321,5U1,,6,1,,8,2,,3,,,,,,,,"Guttery, Randall",,,,,
RHET,1302,051,,9,2,2,2,,,,,,,,1,,,"Ma, Ying",,,,,
RHET,1302,052,2,5,2,1,,,1,2,,,,,,,,"Crawford, Rachel",,,,,
RHET,1302,053,1,5,,1,2,1,,,,,,1,1,,,"Hasan, Syeda Nadia",,,,,
RHET,1302,054,,12,,1,1,,,,,,,,1,,,"Mathur, Shivika",,,,,
RHET,1302,055,1,4,4,1,2,,2,1,,1,,,2,,,"Ocasio-Russe, Lizbette",,,,,
RHET,1302,091,4,7,2,3,,,1,,,,,,1,,,"Murphy, Trisha",,,,,
RHET,1302,092,,9,,,,,,,,,,,1,,,"Howard Cuadros, Esther W",,,,,
SE,3306,0U1,,8,,1,6,,,2,,,,,,,,"Farage, Timothy P",,,,,
SE,4381,0U1,1,1,1,1,5,1,,,,,,,,,,"Paulk, Mark C","Yu, Linlin",,,,
SE,6388,5U1,,8,1,1,,,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,
SE,6388,MU1,,5,5,1,,,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,
SOC,1301,0W1,12,15,1,1,5,2,,4,,,1,1,2,,,"Malek-Ahmadi, John H",,,,,
SOC,3379,0U1,6,2,1,2,,,,,,,,,,,,"Upoma, Shahrin S",,,,,
SPAU,3342,0U1,4,10,1,,,1,1,,,,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,
SPAU,4394,051,,26,,,8,,,1,,,,,,,,"Kaplan, Karen",,,,,
STAT,2332,0U1,18,4,2,2,3,1,,3,,1,1,,1,,,"Whalen, Tristan G",,,,,
STAT,2332,0U2,2,3,2,3,4,4,,1,,,,,,,,"Guo, Huizhen","Sajal, Ibrahim Hossain","Uddin, Mohammad Afser",,,
STAT,4351,0U1,,5,,3,,,,3,1,,1,1,1,,,"Koshevnik, Yuly","Wickramasinghe, Wickramasinghe M",,,,
SYSM,6327,SU1,,17,,,,,,,,,,,,,,"Reynolds, Samuel E",,,,,
SYSM,6334,SU1,,5,3,2,,2,,,,,,,,,,"Shrivastava, Prakash C",,,,,
THEA,1310,091,,14,4,2,2,,,,,,,,,,,"Hibbs, Shelby A",,,,,
UNIV,2V96,0U1,,,,,,,,,,,,,,25,,"Maitra, Meenakshi","Turcatti, Andrea M","Edwards, Kimberly J","Ho, Karl","Bennett, Terrell R",
