Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BIOL,3388,001,3,7,6,3,1,5,2,,2,,,,,1,,,,,"Rippel, Scott A",,,,,
BIOL,2111,005,2,1,3,,4,6,2,2,3,2,3,,1,1,,,,,"Srikanth, Uma",,,,,
PHYS,2125,131,5,23,,,,,,,,,,,1,1,,,,,"Sun, Kuei","Zhou, Xiaohe",,,,
PHYS,2125,113,15,12,,,1,,,,,,,,1,1,,,,,"Sun, Kuei","Ferguson, Sarah W",,,,
PHYS,2126,113,2,14,11,2,,,,,,,,,,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Hussain, Shadhin",,,
NATS,2333,001,7,13,6,1,,1,,,,,,,1,1,,,,,"Taylor, Stephanie M","Martin, Jody",,,,
CHEM,1112,132,7,13,4,2,1,1,,,,,,1,,1,,,,,"Abeykoon, Nimali C","Alberto, Kevin A",,,,
PHYS,2125,116,9,18,1,,,,1,,,,,,,1,,,,,"Sun, Kuei","Khashami, Fatemeh",,,,
ATCM,3338,002,,4,6,2,2,6,2,1,,,,2,4,1,,,,,"Chandler, Adam W","Desai, Wajiha Y",,,,
MIS,6320,0W1,,5,5,7,6,5,1,,,,,,,1,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,
ATCM,3301,502,,3,3,5,7,6,,3,1,,,,1,1,,,,,"Rheams, David C",,,,,
BIOL,3455,301,5,2,3,4,2,3,5,1,2,1,,1,,1,,,,,"Maitra, Meenakshi","Ramirez, Ruben D",,,,
CHEM,1112,136,2,9,7,5,3,1,,,,,,,2,1,,,,,"Dissanayake, Dushanthi S","Mills, Kira R",,,,
MATH,3380,001,3,5,5,5,1,2,1,2,2,2,,,1,1,,,,,"Tran, Anh T","Khan, Md Arafat H",,,,
ACCT,6330,501,,6,2,6,8,,2,3,,,,,2,0,,,,,"Pang, Wenjin","Keogh, Reagan D",,,,
CHEM,2125,111,5,11,11,2,,,,,,,,,,1,,,,,"Shah, Shailesh N","Wang, Hanghang",,,,
ATCM,2301,006,4,5,7,2,3,2,2,,,2,,1,1,0,,,,,"Bernfeld, Luke S","Alzate, Catalina",,,,
CHEM,1112,101,12,11,2,,1,,,1,,,,,2,1,,,,,"Hashami, Zohreh","Malekpour, Soheil",,,,
CHEM,1112,131,16,10,,2,1,,,,,,,,,1,,,,,"Tran, Daniel N","Pope, Mitchell A",,,,
CHEM,2125,110,6,10,10,1,2,,,,,,,,,1,,,,,"Tran, Daniel N","Tajik Asl, Masoumeh",,,,
CHEM,1112,124,2,11,4,4,4,1,1,1,1,,,,,1,,,,,"Dissanayake, Dushanthi S","Khan, Amber",,,,
CHEM,1112,116,3,17,4,1,2,,,,,,,2,,1,,,,,"Hashami, Zohreh","Page, Kierstin",,,,
CLDP,4344,001,2,8,9,4,,2,3,1,,,,,,1,,,,,"Ward, Felicia",,,,,
CHEM,1116,HN1,8,20,,1,,,,,,,,,,0,,1,,,"Sibert, John W",,,,,
GEOG,3372,001,,2,6,7,9,2,1,1,1,,,,,1,,,,,"Vakulenko, Irina","Venigalla, Lasya",,,,
PHYS,2125,110,7,22,,,,,,,,,,,,1,,,,,"Sun, Kuei","Talebi, Shawhin",,,,
MUSI,2322,002,5,5,,2,3,,2,4,,1,3,,4,1,,,,,"Bennett, Rodger",,,,,
ECON,4355,001,3,3,3,3,3,4,1,1,2,2,1,3,,0,,,,,"Li, Dong","Hou, Aoyu",,,,
MATH,2414,021,1,1,3,1,,4,5,6,4,,,1,3,1,,,,,"Choi, Sl-ghi",,,,,
CHEM,1112,110,,4,14,4,2,4,1,,,,,,,1,,,,,"Abeykoon, Nimali C","Khan, Amber",,,,
ATCM,3305,001,,,3,,6,6,1,4,5,,1,1,2,1,,,,,"Camacho, Christopher J",,,,,
PHYS,2125,606,5,20,1,1,,1,,,,,,1,,1,,,,,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,
PHYS,2126,116,7,11,8,2,1,,,,,,,,,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Hussain, Shadhin",,,
CHEM,1316,HN1,4,13,6,,5,1,,,,,,,,0,,1,,,"Sibert, John W",,,,,
ATCM,2335,501,5,3,9,4,1,1,1,1,1,,,1,2,1,,,,,"Keralis, Spencer D",,,,,
BIS,3190,0W2,13,6,5,,,2,1,,2,,,,,1,,,,,"Edwards, Christopher W","Robinson, Katie L",,,,
PHYS,2126,106,14,13,,,,,,,,,,,2,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Koirala, Pawan",,,
PHYS,2125,107,7,18,2,1,,,,1,,,,,,1,,,,,"Sun, Kuei","Wang, Qing",,,,
CHEM,1112,120,4,11,3,5,4,1,,,1,,,,,1,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,
ATCM,2302,003,9,6,5,,,3,2,1,1,,,,2,1,,,,,"Minnish, Roxanne W","Brtis, Chelsea L",,,,
MKT,3330,006,14,6,3,2,2,1,1,,,1,,,,0,,,,,"Amirpour, Semiramis",,,,,
PHYS,2126,117,12,14,2,1,,,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Wang, Qiyue",,,
PHYS,2126,101,5,20,3,2,,,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Mueller, David H",,,
CHEM,2125,116,12,14,2,1,,,,,,,,1,,0,,,,,"Shah, Shailesh N","Ji, Ke",,,,
CHEM,1112,112,10,16,2,,1,,,,,,,,1,0,,,,,"Abeykoon, Nimali C","Faisal, Tahmid",,,,
PSY,4324,001,2,10,8,3,1,5,1,,,,,,,0,,,,,"Brody, Salena M",,,,,
ED,4372,5H1,13,7,5,,2,2,,1,,,,,,0,,,,,"Mahmoud, Ramy A",,,,,
PHYS,2125,112,14,15,,,,,,,1,,,,,0,,,,,"Sun, Kuei","Talebi, Shawhin",,,,
PHYS,2125,603,8,17,2,1,2,,,,,,,,,0,,,,,"Sun, Kuei","Hathurusinghe Dewage, Prabuddha Madusanka",,,,
AMS,2300,001,1,5,4,6,3,1,4,3,1,,1,1,,0,,,,,"Pogue, Neall W",,,,,
CHEM,2123,101,10,14,6,,,,,,,,,,,0,,,,,"Shah, Shailesh N","Ma, Ziyuan",,,,
PHYS,2126,104,11,13,5,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Parajuli, Santosh",,,
PHYS,2125,601,5,21,2,1,1,,,,,,,,,0,,,,,"Sun, Kuei","Wang, Qing",,,,
PHYS,2125,115,2,27,,,1,,,,,,,,,0,,,,,"Sun, Kuei","Fernando, Bharana A",,,,
PHYS,2125,101,13,16,,,,1,,,,,,,,0,,,,,"Sun, Kuei","Ali, Saif",,,,
PHYS,2126,109,19,7,2,1,,,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Parajuli, Santosh",,,
FIN,6301,CW1,,11,8,8,3,,,,,,,,,0,,,,,"Ghai, Rajesh",,,,,
PHYS,2125,604,12,16,1,1,,,,,,,,,,0,,,,,"Sun, Kuei","Sharon Felix, .",,,,
DANC,1310,0H1,1,19,4,2,2,2,,,,,,,,0,,,,,"Owens, Misty",,,,,
PHYS,2125,127,11,17,1,,,1,,,,,,,,0,,,,,"Sun, Kuei","Khashami, Fatemeh",,,,
CHEM,1112,127,3,13,3,4,3,2,,,1,,1,,,0,,,,,"Tran, Daniel N","Youn, Jonghae",,,,
ATCM,3340,003,,12,9,2,5,1,,1,,,,,,0,,,,,"Wood, Harold G",,,,,
HIST,3392,001,1,2,5,2,4,6,2,2,3,,1,1,1,0,,,,,"Schulze, Jeffrey",,,,,
ATCM,3365,001,,1,9,6,9,3,,1,,1,,,,0,,,,,"Christopher, Daedra",,,,,
ED,3315,002,,14,5,1,6,3,,1,,,,,,0,,,,,"Leek, Patricia A",,,,,
PHYS,2126,115,17,9,2,1,,,,1,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Bukowski, Aaron",,,
ATCM,3301,503,1,7,4,3,1,2,2,1,3,1,1,1,3,0,,,,,"Keralis, Spencer D",,,,,
BA,3100,002,,26,1,1,,1,,,,,1,,,0,,,,,"Berardi, Caryn S",,,,,
EE,1202,002,2,6,5,2,2,1,2,1,3,,,1,5,0,,,,,"Cogan, Diana L",,,,,
CHEM,1112,117,11,12,3,2,,,,,1,,,,1,0,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,
PHYS,2125,122,4,22,1,1,,2,,,,,,,,0,,,,,"Sun, Kuei","Agashe, Anish N",,,,
FIN,4313,001,11,9,7,2,1,,,,,,,,,0,,,,,"Molina, Stephen",,,,,
HMGT,3100,001,14,5,4,1,3,1,,,,,,1,1,0,,,,,"Newcomb, Rebecca G",,,,,
FIN,6352,501,,10,3,4,7,3,,2,,,,,1,0,,,,,"Springate, David J",,,,,
ISIS,4V89,001,6,15,6,2,1,,,,,,,,,0,,,,,"Aubrey, Lea E",,,,,
PHYS,2125,102,14,14,2,,,,,,,,,,,0,,,,,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,
HLTH,4108,001,20,7,2,,,,,,,,,,1,0,,,,,"Rainey, Anthony D",,,,,
ATCM,2301,001,1,4,8,7,4,2,2,,1,,,1,,0,,,,,"Christopher, Daedra","Alzate, Catalina",,,,
PHYS,2126,110,21,7,1,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Cailide, Christopher G",,,
BIOL,4350,001,,3,3,7,6,3,3,1,1,1,,1,1,0,,,,,"Ramirez, Ruben D",,,,,
CHEM,1112,106,3,14,5,3,2,2,,,1,,,,,0,,,,,"Tran, Daniel N","Namal Arachchilage, Chamni U",,,,
ATCM,3366,002,,16,3,,1,4,,,2,1,,1,2,0,,,,,"Wu, Hong An",,,,,
PHYS,2125,129,6,20,1,2,1,,,,,,,,,0,,,,,"Sun, Kuei","Zheng, Peng Peng",,,,
ATCM,2301,501,,1,12,5,3,4,2,1,1,,,,1,0,,,,,"Veras de Souza, Christine","Alzate, Catalina",,,,
PHYS,2125,605,12,17,,,,,,,,,1,,,0,,,,,"Sun, Kuei","Javed, Umar",,,,
ATCM,3307,002,,2,4,6,7,5,1,1,1,,,,3,0,,,,,"McCord, Peter A",,,,,
MIS,6323,001,,16,4,8,2,,,,,,,,,0,,,,,"Tang, Shaojie","Choudhary, Aarzoo",,,,
CHEM,2125,104,17,12,1,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam",,,,
OBHR,3310,5E1,,1,9,3,9,4,2,,2,,,,,0,,,,,"Ritchey, Kemberly A",,,,,
CHEM,1112,109,7,12,,7,2,1,,1,,,,,,0,,,,,"Qin, Yanping","Morakabi, Katayoun",,,,
HUMA,3351,001,7,22,,,,,,1,,,,,,0,,,,,"Anjum, Zafar",,,,,
CHEM,2123,104,16,11,3,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Tague, Daniel W",,,,
CHEM,2125,601,12,11,7,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Bhadran, Abhi",,,,
ATCM,3340,001,2,19,4,2,2,1,,,,,,,,0,,,,,"Wood, Harold G",,,,,
CHEM,1112,133,7,18,5,,,,,,,,,,,0,,,,,"Tran, Daniel N","Mills, Kira R",,,,
PHYS,2126,108,10,16,4,,,,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Solanki, Rahulkumar",,,
ATCM,4330,002,,3,6,4,7,3,3,1,1,,,,2,0,,,,,"Burrough, Xtine","Asgharpour, Maedeh",,,,
PHYS,2125,118,10,16,1,1,,1,,1,,,,,,0,,,,,"Sun, Kuei","Zhao, Xinyu",,,,
ATCM,3365,003,,2,14,7,1,1,1,2,2,,,,,0,,,,,"Christopher, Daedra",,,,,
BIS,4306,0W2,1,6,3,2,3,,2,1,3,,,,9,0,,,,,"Simpson, Carrie M",,,,,
CHEM,1112,126,9,19,,1,1,,,,,,,,,0,,,,,"Huang, Yu","Faisal, Tahmid",,,,
ATCM,2302,004,,1,8,6,6,1,1,,1,1,1,,4,0,,,,,"Veras de Souza, Christine","Brtis, Chelsea L",,,,
CHEM,2125,117,19,6,5,,,,,,,,,,,0,,,,,"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,
CHEM,1112,113,4,14,5,2,1,1,,,1,,,,2,0,,,,,"Hashami, Zohreh","Page, Kierstin",,,,
CHEM,2125,605,13,11,6,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Bhadran, Abhi",,,,
COMD,6320,001,,29,,,1,,,,,,,,,0,,,,,"Smith, Irma E","Dean, Lucinda L",,,,
PHYS,2125,123,16,12,2,,,,,,,,,,,0,,,,,"Sun, Kuei","Javed, Umar",,,,
HMGT,6331,CH1,,26,1,3,,,,,,,,,,0,,,,,"Jacob, Stephen",,,,,
EE,4389,001,,18,5,3,3,,,,,,,,1,0,,,,,"Skinner, Neal G",,,,,
CHEM,2125,106,7,14,8,1,,,,,,,,,,0,,,,,"Shah, Shailesh N","Hernandez, Jayoh A",,,,
CHEM,1112,108,1,16,6,2,3,1,,,,,,,1,0,,,,,"Abeykoon, Nimali C","Franciskovich, Matthew R",,,,
MUSI,3322,001,2,10,3,1,6,1,1,5,1,,,,,0,,,,,"Evans, Kathryn C",,,,,
CHEM,1112,134,7,17,5,,,,,,,,,,1,0,,,,,"Dissanayake, Dushanthi S","Pope, Mitchell A",,,,
FIN,6356,501,,6,8,6,3,2,4,1,,,,,,0,,,,,"Davis, Richard L",,,,,
ATCM,2321,001,,2,4,9,8,4,2,,1,,,,,0,,,,,"Imaoka, Laura",,,,,
CHEM,2125,113,10,13,4,2,,1,,,,,,,,0,,,,,"Shah, Shailesh N","Diwakara Mohottalalage, Shashini Devika D",,,,
PHYS,2125,119,8,22,,,,,,,,,,,,0,,,,,"Sun, Kuei","Mahmud, Mohammad M",,,,
MKT,3300,5E1,2,7,7,5,5,3,,,1,,,,,0,,,,,"Meda, Edward","Tsai, Lin",,,,
MKT,6309,501,,17,5,6,2,,,,,,,,,0,,,,,"Li, Xiaolin","Kasaian, Keyvan",,,,
PHYS,2125,602,2,22,2,1,1,,,,,1,,,1,0,,,,,"Sun, Kuei","Mishra, Aditya K",,,,
CHEM,2125,109,10,15,3,1,1,,,,,,,,,0,,,,,"Wijenayake, Sumudu N","Tajik Asl, Masoumeh",,,,
MKT,3330,502,4,7,7,2,5,1,1,1,,,,1,1,0,,,,,"Gafford, Jerome M",,,,,
LIT,2350,001,2,5,10,3,1,2,1,1,1,1,,,3,0,,,,,"Barnes, Ashley",,,,,
COMD,6377,001,,28,,,2,,,,,,,,,0,,,,,"Kenedi, Helen","Sale, Felicity F",,,,
ATCM,3350,501,5,9,6,4,2,2,,1,1,,,,,0,,,,,"Hewitt, Sharon","Mejia, Paulina M",,,,
CHEM,1112,123,14,14,,1,,1,,,,,,,,0,,,,,"Qin, Yanping","Faisal, Tahmid",,,,
ATCM,3337,001,1,14,5,4,2,4,,,,,,,,0,,,,,"Nazir, Cassini",,,,,
CHEM,2125,103,18,10,2,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam",,,,
DANC,1310,0H2,1,16,5,1,3,1,,2,,,,,1,0,,,,,"Saba, Monica",,,,,
CRIM,4322,5H1,,8,7,6,4,2,,1,1,,,,1,0,,,,,"Worrall, John L","Riddell, Jordan R",,,,
CHEM,2125,602,2,17,8,2,1,,,,,,,,,0,,,,,"Panapitiya, Nimanka P","Bhadran, Abhi",,,,
PHYS,2125,136,6,11,5,1,,3,1,1,,,,,2,0,,,,,"Sun, Kuei","Zanders, Alan P",,,,
ATCM,4380,001,1,6,9,8,1,2,1,,2,,,,,0,,,,,"Lee, Angela M",,,,,
CHEM,1112,135,14,9,4,,1,,,1,,,,,1,0,,,,,"Abeykoon, Nimali C","Youn, Jonghae",,,,
COMD,7207,001,,19,,,1,,,,,,,,,0,,,,11,"Kenedi, Helen",,,,,
MATH,2418,308,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,
MATH,2415,305,,,,,,,,,,,,,,0,,,,,"Makhijani, Neha",,,,,
MATH,2418,313,,,,,,,,,,,,,,0,,,,,"Zhang, Yi",,,,,
MATH,2415,301,,,,,,,,,,,,,,0,,,,,"Makhijani, Neha",,,,,
MATH,2418,309,,,,,,,,,,,,,,0,,,,,"Pereira, Luis Felipe F",,,,,
MATH,2415,306,,,,,,,,,,,,,,0,,,,,"Zweck, John W",,,,,
MATH,2418,305,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,
BIOL,3161,008,,8,2,1,4,3,,3,1,1,1,1,2,3,,1,,,"Taylor, Stephanie M",,,,,
ACN,6373,001,,6,6,9,6,,,,,,,,,3,,,,,"Moller, Aage R",,,,,
ACN,6338,001,,6,,,18,,,3,,,,,1,3,,,,,"Kennedy, Kristen M","Miranda, Giuseppe G",,,,
BIOL,2111,003,3,1,2,3,5,1,4,5,3,,1,,,2,,1,,,"Srikanth, Uma",,,,,
CS,4386,001,3,4,3,3,4,4,1,1,,,2,,3,3,,,,,"Gupta, Neeraj K","Fisher, Dakota J",,,,
BIOL,3455,306,,1,5,3,1,1,,4,,2,1,3,7,3,,,,,"Ramirez, Ruben D","Sarcar, Subha N","Karkar, Akash V","Ma, Timothy",,
EE,3102,103,12,5,3,3,2,,1,1,,,,,2,2,,,,,"Webb, Jennifer H","Azarang, Arian","Chandra Shekar, Ram Charan M",,,
PHYS,3427,001,11,11,2,,3,1,1,,,,,,,2,,,,,"Frazier, Gary A",,,,,
IMS,6365,0W1,,15,2,7,4,1,,1,,,,,,1,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,
CS,3354,007,2,2,2,2,6,4,1,5,1,,1,2,2,1,,,,,"Marcus, Andrian","Mousavi, Pooneh",,,,
LIT,3330,001,4,7,5,4,3,4,1,1,,,,,1,1,,,,,"Lambert, Thomas M",,,,,
ACCT,4342,501,4,3,4,6,4,3,2,2,1,,,,1,1,,,,,"Hagen, John C","Farooqi, Shan A",,,,
ENTP,3320,001,,7,1,6,11,4,,1,,,,,,1,,,,,"Wright, Robert G",,,,,
ATCM,2302,501,10,4,2,2,2,,3,1,2,,1,,3,1,,,,,"Li, Mary A","Brtis, Chelsea L",,,,
ATCM,2301,003,5,7,10,2,4,,,1,1,,,,,1,,,,,"Christopher, Daedra","Alzate, Catalina",,,,
BUAN,6337,0W1,,6,7,7,8,1,,1,,,,,,1,,,,,"Subramanian, Upender","Bhave, Ashutosh C",,,,
ISIS,3335,001,5,6,6,6,1,4,,,,,,,3,0,,,,,"Rosa, Jonathan",,,,,
BCOM,4350,501,,6,5,8,8,4,,,,,,,,0,,,,,"Lookadoo, Kathryn","Tanabe, Takuma",,,,
OB,6301,PS1,,9,14,2,4,,1,1,,,,,,0,,,,,"Hicks, Jeffrey N",,,,,
ATCM,3301,501,4,11,9,2,2,,,2,1,,,,,0,,,,,"Patino, Stephen D",,,,,
CS,6301,503,,10,5,5,4,3,3,,,,,,1,0,,,,,"Redfern, Arthur","Mohammadpour, Somayeh",,,,
BIOL,2350,001,8,14,,1,6,,1,1,,,,,,0,,,,,"Sapozhnikov, Ilya",,,,,
OPRE,6355,001,,8,7,13,3,,,,,,,,,0,,,,,"Bolton, Gary","Katok, Elena M",,,,
NSC,4351,002,3,13,5,2,3,2,1,1,,,1,,,0,,,,,"Miller, Van S",,,,,
ACCT,6332,001,,13,,,6,,,9,,,,,3,0,,,,,"Zolton, Kathy","Anwer, Jordan J",,,,
ITSS,4300,002,2,2,4,4,7,6,2,1,2,1,,,,0,,,,,"Calisir, Engin","Velugati, Jayanth Reddy",,,,
ATCM,3301,002,10,11,8,,2,,,,,,,,,0,,,,,"Patino, Stephen D",,,,,
OPRE,6301,SS1,,25,5,1,,,,,,,,,,0,,,,,"Sethi, Awanti",,,,,
ATCM,2302,006,10,12,1,1,4,1,,1,1,,,,,0,,,,,"Minnish, Roxanne W","Brtis, Chelsea L",,,,
PHYS,4328,001,1,4,5,5,3,4,3,4,,,2,,,0,,,,,"Malko, Anton V","Stoikos, Evangelos",,,,
ATCM,2321,002,,2,5,7,9,4,2,2,,,,,,0,,,,,"Imaoka, Laura","Barr, Ivey B",,,,
ATCM,4338,001,4,7,4,4,4,5,,1,,,,,2,0,,,,,"Farrar, Eric T",,,,,
EE,3310,001,8,13,7,3,,,,,,,,,,0,,,,,"Frensley, William",,,,,
BIOL,3456,301,2,10,2,1,3,3,5,1,1,3,,,,0,,,,,"Yu, Wen H",,,,,
MATH,1314,001,1,2,1,2,2,3,3,2,2,2,1,,10,0,,,,,"McCary, Brady C",,,,,
MATH,2418,304,,,,,,,,,,,,,,0,,,,,"Dahal, Rabin",,,,,
MATH,2418,306,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,
MATH,2418,314,,,,,,,,,,,,,,0,,,,,"Zhang, Yi",,,,,
MATH,2418,311,,,,,,,,,,,,,,0,,,,,"Pereira, Luis Felipe F",,,,,
MATH,2418,312,,,,,,,,,,,,,,0,,,,,"Pereira, Luis Felipe F",,,,,
MATH,2418,307,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,
MATH,2414,019,1,3,,,1,1,8,3,2,,2,,8,3,,,,,"Westbury, Bruce W",,,,,
BMEN,2320,001,1,3,4,2,6,3,1,4,,,,,5,3,,,,,"Ren, Yao","Li, Wentao",,,,
HLTH,3305,002,,5,7,2,6,4,1,3,1,,,,1,2,,,,,"Stark, Azadeh T",,,,,
CS,4347,002,4,4,6,5,5,1,1,2,2,,,,,2,,,,,"Christiansen, Michael G","Chen, Simin",,,,
BIOL,3455,304,3,6,2,3,2,4,,1,4,4,,1,,2,,,,,"Maitra, Meenakshi","Ramirez, Ruben D",,,,
ITSS,4380,501,3,11,3,2,6,2,3,,,,,,1,1,,,,,"Owens, Dawn M","Singh, Tajinder",,,,
MATH,3312,001,4,4,2,3,3,2,2,4,3,2,2,,,1,,,,,"Arreche, Carlos","Goodson, Scott W",,,,
BUAN,6346,501,,2,10,3,8,1,6,,,,,,1,1,,,,,"Cankaya, Hakki C","Tripathi, Aarohi",,,,
OBHR,3310,003,2,2,4,7,7,3,2,2,1,,,,1,1,,,,,"Jun, Sora","Kim, Kyun",,,,
MIS,6356,004,,5,19,3,4,,,,,,,,,1,,,,,"Thouin, Mark","Singh, Tajinder",,,,
BIOL,3456,303,2,5,4,10,2,1,3,1,,,1,,2,0,1,,,,"Yu, Wen H",,,,,
BIOL,5440,001,,11,10,5,4,,,1,,,,,,1,,,,,"Delk, Nikki A",,,,,
PSY,3338,001,,13,4,3,2,3,2,,3,,,,1,1,,,,,"Santrock, John W","Spence, Melanie",,,,
BIOL,3456,304,,11,10,3,4,,2,,,,,1,,1,,,,,"Hill, Brenna R","Yu, Wen H","Dagupati, Venkatesh",,,
BIOL,3456,302,3,6,8,4,3,2,1,1,2,,,1,,0,,1,,,"Yu, Wen H",,,,,
BIOL,3456,801,3,8,4,2,5,5,,3,,1,,,1,0,,,,,"Sarcar, Subha N","Yu, Wen H","Venkitapathi, Sundharamani","Li, Yibo",,
EE,3350,002,,10,4,2,2,8,1,2,1,,1,1,,0,,,,,"Torlak, Murat","Baral, Ashwin Bhobani",,,,
MIS,6334,001,,10,6,5,7,4,,,,,,,,0,,,,,"Menon, Syam","Kumar, Jitendra",,,,
BIS,3190,0W1,12,10,5,2,,,,,2,,1,,,0,,,,,"Edwards, Christopher W","Robinson, Katie L",,,,
CS,1337,001,,6,,1,4,4,2,5,,1,4,1,4,0,,,,,"Arnold, Gordon L",,,,,
PSY,3332,501,,3,3,2,9,5,,5,1,1,1,,2,0,,,,,"Shoaib, Amber","Smith, Olivia",,,,
BIOL,3162,007,2,7,2,3,2,5,1,3,3,2,1,,1,0,,,,,"Candas, Mehmet",,,,,
HIST,3387,501,4,11,,2,7,,,1,,,2,,5,0,,,,,"Bocchine, Kristin",,,,,
GST,2300,001,,12,1,4,5,2,1,4,,,1,,2,0,,,,,"Werhnyak, Larissa",,,,,
ACCT,3341,501,5,7,4,6,2,4,,3,1,,,,,0,,,,,"Sadka, Gil","Fan, Zhongwen","Chu, Yu Fang",,,
NSC,4366,002,3,5,10,4,3,4,1,,,1,1,,,0,,,,,"McWilliams, Steven P",,,,,
PA,4345,001,,2,5,9,5,1,2,,,3,1,1,3,0,,,,,"Cohen, Galia",,,,,
ACCT,6343,0W1,,15,,,15,,,2,,,,,,0,,,,,"Johnson, Jennifer","Farooqi, Shan A",,,,
MIS,6337,501,,10,9,5,5,2,,1,,,,,,0,,,,,"Mauriello, Joseph A","Braughton, Caleb M",,,,
MUSI,4118,501,,32,,,,,,,,,,,,0,,,,,"Ming, Adron",,,,,
ACCT,6305,501,,24,,2,6,,,,,,,,,0,,,,,"Loumioti, Maria","Hou, Liya",,,,
MKT,4380,002,,11,9,5,6,,1,,,,,,,0,,,,,"Wu, Fang","Qian, Kun",,,,
ATCM,2302,502,6,10,6,1,2,1,1,,,,2,,3,0,,,,,"Li, Mary A","Brtis, Chelsea L",,,,
CS,6301,002,,9,11,7,3,1,,,,,,,1,0,,,,,"Raichel, Benjamin A",,,,,
ATCM,2301,004,,6,4,4,5,3,3,3,,,1,1,2,0,,,,,"Nielsen, Christina R","Alzate, Catalina",,,,
BIOL,3161,007,3,,1,3,6,3,,3,2,3,2,,2,4,,1,,,"Taylor, Stephanie M",,,,,
CS,4348,002,,2,4,3,3,3,4,3,1,,2,2,3,3,,,,,"Ozbirn, Greg A",,,,,
SOC,2305,0W1,8,14,,,7,,,,,,,,1,3,,,,,"Malek-Ahmadi, John H",,,,,
OB,6350,CW1,,14,12,4,,,1,,,,,,,0,,2,,,"Hicks, Robert","Thomas, Pam",,,,
ACCT,3332,501,,4,,3,6,,2,3,1,2,7,2,1,2,,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,
FIN,3350,501,,8,8,4,4,,3,2,,,,2,,2,,,,,"Xia, Han (Victor)",,,,,
CS,3340,503,,7,9,5,3,,1,2,,,1,,3,2,,,,,"Nguyen, Nhut",,,,,
MECH,3105,103,7,7,3,8,2,1,,,3,,1,,,1,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,
BPS,4305,008,3,1,7,8,3,3,3,,2,1,1,,,1,,,,,"Miller, Toyah L","Welbourne Eleazar, Miranda J",,,,
MATH,4302,001,4,9,1,8,2,2,1,3,,1,1,,,1,,,,,"Dabkowski, Mieczyslaw K","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,
ACCT,6350,501,,10,3,7,5,2,1,3,,,,,1,1,,,,,"Wilson, William H",,,,,
CRIM,4311,0W1,,7,4,4,7,2,6,,1,,,,1,1,,,,,"Narvey, Chelsey",,,,,
ITSS,4300,501,,11,4,2,4,2,2,3,3,,,,1,1,,,,,"Thomas, Sunela","Zhao, Jinglin",,,,
ECON,3330,501,,8,9,3,3,7,1,1,,,,,,0,,,,,"Earle, Doric E",,,,,
ACCT,6305,001,,23,,3,4,1,,,,,,,1,1,,,,,"Loumioti, Maria","Hou, Liya",,,,
ITSS,4390,001,,7,11,5,7,1,2,,,,,,,0,,,,,"Owens, Dawn M",,,,,
MIS,6326,501,,12,7,5,9,,,,,,,,,0,,,,,"Ryu, Young",,,,,
PSCI,4356,001,1,5,4,7,8,2,3,1,,1,,,1,0,,,,,"Peinhardt, Clint W","Akarte, Prajakti V",,,,
EE,4360,001,1,5,4,7,10,3,,1,1,,1,,,0,,,,,"Minn, Hlaing","Han, Dong",,,,
ACCT,6336,501,,16,3,5,6,3,,,,,,,,0,,,,,"Mauriello, Joseph A","Braughton, Caleb M",,,,
