Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,6373,0W1,,25,,,25,,,1,,,,,,0,"Barden, John P","Tatiparti, Venu Madhav",,,,
CHEM,1311,0U1,,7,4,4,7,4,2,4,5,2,2,6,3,1,"Sra, Amandeep K","Mills, Kira R","Pope, Mitchell A",,,
BUAN,6398,5U1,,29,2,4,14,1,2,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,
FIN,3320,0U3,2,8,6,7,9,2,7,4,2,1,1,2,1,0,"Peabody, Stephen D",,,,,
BIOL,3101,0U1,5,2,7,2,5,4,4,4,2,2,3,7,3,2,"Borovkov, Irina G","Zhou, Qin","Cao, Lian",,,
MIS,6308,0W1,,14,13,7,13,2,,3,,,,,,1,"Raghunathan, Srinivasan","Srivastava, Smriti","Xie, Si",,,
MECH,3320,0U1,5,7,11,11,11,3,4,,1,1,,,,0,"Fadda, Dani Z","Mahmoudi, Mohammadreza",,,,
ACCT,6384,0W1,,37,9,6,,,,,,,,,1,1,"Kromer, Jeffrey",,,,,
MATH,2418,0U1,5,6,4,4,9,1,6,7,1,,4,2,6,0,"Dahal, Rabin","Kravetc, Pavel","Yu, Shi",,,
ACCT,6365,5U1,,12,11,15,10,4,4,,,,,,,0,"Cheng, Samuel","Chu, Yu Fang",,,,
OB,6301,0W1,,48,,,7,,,1,,,,,,0,"Hasenhuttl, Maria","Kim, Dong Shin",,,,
OB,6301,0W2,,48,,,7,,,1,,,,,,0,"Hasenhuttl, Maria","Kim, Dong Shin",,,,
CHEM,2323,0U1,7,20,4,3,4,2,6,1,6,,,,1,2,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Bhadran, Abhi",,,
MECO,6303,0W1,,12,10,7,9,3,5,11,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,
ITSS,3300,5U1,,38,10,1,3,3,2,1,,,,,,0,"Owens, Sean M","Luo, Ning",,,,
OPRE,3310,5U1,8,15,4,20,4,3,2,,,,,,,2,"Kucukgul, Can",,,,,
FIN,6301,0W1,,49,,,7,,,2,,,,,,1,"El-Ashmawi, Amal H",,,,,
IMS,6360,0W1,,53,5,,1,,,,,,,,,0,"Siklar, Kurt",,,,,
CRIM,3324,0W1,4,11,5,18,8,3,1,2,3,1,,1,2,0,"Hayslip, Melissa P",,,,,
BIOL,2312,0U1,5,13,6,8,10,4,4,3,1,2,1,2,1,0,"Candas, Mehmet","Soladogun, Adedamola S","Daescu, Kelly J",,,
COMD,7345,0U1,,45,,,5,,,,,,,,,0,"Cook, Lori G","Berglund, Amy",,,,
OPRE,3310,0U2,9,20,11,9,8,3,1,,,,,,,0,"Chen, Jiayu",,,,,
BIOL,2311,0U1,3,16,15,10,6,2,1,2,1,1,1,2,,1,"Candas, Mehmet","Yetkin, Celal E","Ratna, Tahira Amdid",,,
BIOL,3101,0U2,6,11,7,6,4,10,3,6,1,2,,2,2,3,"Borovkov, Irina G","Chen, Xingyu","Upreti, Chahat",,,
PHYS,2326,0U1,2,19,23,11,7,2,1,,,1,,,3,0,"Gartstein, Yuri","Fox, Logan K","Zhou, Xiaohe",,,
CRIM,4396,0W1,27,21,8,4,4,6,,,,,1,,2,1,"Polk, Elmer O",,,,,
CHEM,1312,0U1,3,4,6,6,9,10,7,6,10,,10,3,4,1,"Sibert, John W",,,,,
CHEM,2325,0U1,12,19,4,17,8,7,2,5,7,,3,,4,0,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Bhadran, Abhi",,,
ISNS,2359,0W1,27,24,11,7,11,2,,4,2,2,,1,4,1,"Pujana, Ignacio",,,,,
ISNS,2367,0W1,10,17,13,13,13,3,3,8,6,,2,,6,4,"Pujana, Ignacio",,,,,
BIOL,3361,0U1,6,29,11,8,11,11,7,11,3,2,1,,1,1,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Song, Ming","Ray, Ashvini","Dey, Sanchareeka"
BIOL,3301,0U1,11,14,13,8,9,14,6,11,3,4,3,9,5,5,"Borovkov, Irina G","Zhou, Qin","Upreti, Chahat","Chen, Xingyu","Cao, Lian",
COMD,7303,0U1,,94,,,27,,,1,,,,,,0,"Dean, Lucinda L","Kenedi, Helen","Boone, Melissa N",,,
