Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
PSY,4343,0W2,5,10,9,6,8,2,1,2,,1,3,,1,,,2,"Ybarra, Regina K","Hsieh, Uan-Luen",,,,
PSY,4346,0U1,7,9,7,4,,1,1,3,3,,,,2,,,3,"Wilder, Siri","Platt, Kristen N",,,,
PSY,4V90,0U1,,15,,,,,,,,,,,,,,0,"De Froy, Adrienne M",,,,,
PSY,4V90,0W1,,23,1,1,,,3,,1,,1,1,,,,1,"Brody, Salena M","De La Cerda, Callie B",,,,
REAL,3365,0W1,,1,2,2,3,3,,,1,,,,,,,0,"DeCourcy, George A",,,,,
REAL,6321,5H1,,1,1,,2,,,3,,,,,2,,,2,"Guttery, Randall",,,,,
REAL,6322,0W1,,4,2,2,6,2,,,,,,,,,,0,"DeCourcy, George A",,,,,
RHET,1302,051,1,7,3,,,,1,1,,1,,1,,,,0,"Cook, Brandy S",,,,,
RHET,1302,052,7,4,4,,,1,,,1,,,,1,,,0,"Walker, Jason A",,,,,
RHET,1302,091,,1,4,1,3,2,,1,,1,,,1,,,0,"Cox, Gavin L",,,,,
RHET,1302,0S1,3,4,3,1,1,,,,,,,,,,,0,"Hill, Justin T",,,,,
SE,3306,0W1,3,3,,2,,2,,,,,,,,,,0,"Farage, Timothy P","Song, Zihe",,,,
SE,4381,0U1,,3,4,3,3,7,3,3,2,,,,,,,0,"Paulk, Mark C","Nguyen, Son V",,,,
SOC,1301,0W1,33,10,1,,1,2,,1,,,,,,,,0,"Dickey-Laprocido, Galen L",,,,,
SOC,2320,0S1,13,4,,,,,,,,,,,,,,0,"Lanham, Carol C","Scotch, Richard","Dore, Gaetan",,,
SPAU,3340,0U1,1,7,,,2,,,1,,,,,,,,0,"Aldridge, Michelle A","Vu, Katrina D",,,,
SPAU,3343,0U1,3,4,2,1,,,,2,,1,,,1,,,0,"Mehta, Sonya","Thomas, Abbey L",,,,
STAT,1342,0U1,1,1,1,,1,2,1,1,1,,,,1,,,1,"Koshevnik, Yuly","Shuvo, Farabi R",,,,
STAT,2332,0U1,10,2,1,1,2,,2,1,1,,,,1,,,0,"Whalen, Tristan G",,,,,
STAT,4351,0U1,4,5,2,,3,1,,,,,,3,1,,,0,"Koshevnik, Yuly","Rahman, Nusma","Nguyen, Mylinh T",,,
SYSM,6325,SU1,,12,1,2,,,,,,,,,,,,0,"Koganti, Ramakrishna",,,,,
