Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Meyer, Clark A","Hasan, Samiul",,,,,BMEN,1208,101,3,2,2,,,1,,1,,,,,,,,,,,1
"Meyer, Clark A","Jha, Sauraj",,,,,BMEN,1208,103,3,7,2,1,,,,,,1,,,,,,,,,2
"Meyer, Clark A","Shamsi, Zeshaan",,,,,BMEN,1208,104,4,4,1,1,,,,2,1,,,,,,,,,,2
"Meyer, Clark A","Lee, Chong Jin N",,,,,BMEN,1208,106,1,4,2,5,1,,2,,,,,,,,,,,,0
"Ardestani Khoubrouy, Soudeh","Qin, Zhiyang",,,,,BMEN,1208,107,2,2,3,,3,,3,,,,,1,,,,,,,2
"Ardestani Khoubrouy, Soudeh","Qin, Zhiyang",,,,,BMEN,1208,109,2,5,1,,,1,,,,,,1,,,,,,,0
"Hart, Robert A","Hilkert, James M",,,,,MECH,4382,001,,7,4,2,3,,1,,1,,,,,,,,,,0
"Hart, Robert A","Hilkert, James M","Fadda, Dani Z",,,,MECH,4382,002,,7,,5,3,1,,1,,,,,,,,,,,0
"Hart, Robert A","Fadda, Dani Z",,,,,MECH,4382,003,,7,2,2,2,2,1,,1,,,,,,,,,,0
"Hart, Robert A","Hilkert, James M",,,,,MECH,4382,004,,9,1,2,3,,,1,1,,,,,,,,,,0
"Hart, Robert A","Park, Wooram",,,,,MECH,4382,005,,7,3,1,4,1,1,,,,,,,,,,,,0
"Hart, Robert A",,,,,,MECH,4382,006,,6,2,3,2,1,2,1,,,,,,,,,,,0
"Hart, Robert A",,,,,,MECH,4382,007,,8,3,2,3,,2,,,,,,,,,,,,0
"Alagar, Sridhar","Nguyen Minh, Tan",,,,,SE,4348,501,,,3,1,3,1,,,,,,,2,,,,,,0
"Perkins, Stephen J","Patel, Vatsalkumar R",,,,,SE,3377,002,1,1,,1,,,1,2,1,2,,,,,,,,,1
"Mazidi, Karen J",,,,,,SE,3340,003,,1,4,1,2,2,,1,,,,,2,,,,,,1
"Mazidi, Karen J",,,,,,SE,3340,503,2,1,,3,1,,3,1,1,1,,,,,,,,,0
"Page, Ivor","Xu, Rupei",,,,,SE,3345,005,2,,1,,1,2,1,,1,1,1,1,1,,,,,,0
"Varner, Victor","Peak, Kara",,,,,BMEN,3399,001,5,8,5,1,7,4,3,5,,,1,,,,,,,,0
"Ware, Taylor H","Hedden, Brian",,,,,BMEN,4360,002,,14,,,18,,,9,,,,,2,,,,,,2
"Sirsi, Shashank R",,,,,,BMEN,6V87,501,,16,,,1,,,,,,,,,,,,,,0
"Coleman, Ann C",,,,,,EEOP,6311,001,,2,,2,3,,,,,,,,,,,,,,0
"Chandrasekaran, Ramaswamy","De, Partha",,,,,CS,6381,001,,9,5,2,1,,,,,,,,,,,,,,0
"Hart, Robert A","Wilt, James C","Fadda, Dani Z",,,,MECH,4381,001,,8,6,7,2,,,,,,,,,,,,,,0
"Hart, Robert A","Wilt, James C","Park, Wooram",,,,MECH,4381,002,,5,5,3,2,3,,2,,,,,,,,,,,0
"Bernal Montoya, Rodrigo A","Yi, Lu",,,,,MECH,3351,002,,14,20,17,24,,,1,,,,,,,,,,,1
"Ardestani Khoubrouy, Soudeh","Hasan, Samiul",,,,,BMEN,1208,110,3,,2,1,,3,,,,,,1,,,,,,,2
"Gupta, Neeraj K","Li, Changbin",,,,,CS,5343,502,,10,1,5,5,,,2,,,,,2,,,,,,1
"Marcus, Andrian","Florez Fandino, Juan Manuel",,,,,CS,3354,007,2,7,9,5,6,1,2,2,2,,,,1,,,,,,1
"Marcus, Andrian","Florez Fandino, Juan Manuel",,,,,CE,3354,007,,1,3,,2,2,,1,,,1,,,,,,,,0
"Malik, Arif",,,,,,MECH,6338,001,,3,2,4,8,4,,3,,,,,,,,,,,0
"Ouyang, Hui","Sarma, Jyotirmoy","Wang, Yang",,,,MECH,3310,002,11,5,9,7,8,7,4,1,2,,,,,,,,,1,0
"Rodrigues, Danieli B",,,,,,BMEN,6342,001,,15,2,,2,,,,,,,,,,,,,,0
"Lee, Jeong-Bong",,,,,,EE,4371,501,2,1,,1,2,,1,2,,,,,2,,,,,,0
"Brandenburg, Jonathan C",,,,,,CS,1324,002,3,9,4,2,6,6,8,3,2,,2,,,,,,,,1
"Raghavachari, Balaji","Chen, Yuqiao",,,,,CS,4349,003,4,4,5,15,6,2,12,4,1,3,,4,5,,,,,,8
"Morales, Linda","Straach, Janell",,,,,SE,6387,001,,4,2,,,,,2,,,,,,,,,,,0
"Mazidi, Karen J","Bahojb Imani, Maryam",,,,,CS,4375,501,,5,16,13,10,15,4,3,2,,1,1,4,,,,,,1
"Dickson, Deborah W","Ryan, Christopher J",,,,,ECS,3390,005,1,11,4,1,1,,,,,,,,,,,,,,1
"Morgan, Barbara",,,,,,ECS,3390,006,,1,2,3,4,3,,1,1,,,,2,,,,,,0
"Dickson, Deborah W","Ryan, Christopher J",,,,,ECS,3390,008,3,10,3,,1,1,,,,,,,1,,,,,,0
"Mohsene, Laura L",,,,,,ECS,3390,505,,7,3,3,,,1,1,1,,1,,1,,,,,,1
"Malik, Arif","Yu, Haoliang",,,,,MECH,6333,501,,31,8,3,3,5,,,,,,,,,,,,,0
"Khan, Ziaullah",,,,,,CS,2336,005,9,6,3,7,10,1,2,7,1,,,,7,,,,,,2
"Khan, Ziaullah",,,,,,CE,2336,005,,1,,2,2,4,,1,1,,,,1,,,,,,0
"Cankaya, Ebru C","Wang, Haoliang","Shams, Shahab","Wang, Xiaoyu",,,CS,3354,004,4,24,9,1,9,2,,1,,,,,,,,,,,0
"Anderson, William C",,,,,,MECH,7100,001,,,,,,,,,,,,,,,,,13,,0
"Cankaya, Ebru C","Wang, Haoliang","Shams, Shahab","Wang, Xiaoyu",,,CE,3354,004,1,5,2,5,1,,,,,,,,,,,,,,0
"Le, Khiem V",,,,,,CS,1337,011,2,7,4,2,10,5,,1,3,1,,,6,,,,,,1
"Gupta, Gopal","Shakerin, Farhad",,,,,CS,6374,001,,14,8,4,3,4,,1,,,,,1,,,,,,0
"Veerasamy, Jeyakesavan",,,,,,CS,1337,006,3,1,3,1,2,,1,1,,,1,,4,,,,,,0
"Brandenburg, Jonathan C",,,,,,CS,3162,052,1,6,8,6,4,4,3,2,,,2,,,,,,,,1
"Webb, Jennifer H","Chandra Shekar, Ram Charan M",,,,,EE,3102,107,7,1,4,,,2,,,,,,,,,,,,,0
"Webb, Jennifer H","Ganguly, Anshuman",,,,,EE,3102,108,4,4,4,,,,,,,,,,,,,,,,0
"Thuraisingham, Bhavani","Ghosh, Smita",,,,,CS,6301,005,,31,,,,,,,,,,,,,,,,,0
"Pitz, Jeanne","Luo, Ziyang",,,,,EE,3111,103,1,3,5,1,,,,,,,,,,,,,,,0
"Pitz, Jeanne","Luo, Ziyang","Chen, Chen",,,,EE,3111,104,4,4,3,,,,,,,,,,,,,,,,0
"Pitz, Jeanne","Luo, Ziyang",,,,,CE,3111,103,1,3,4,3,1,,,,,,,,,,,,,,0
"Pitz, Jeanne","Luo, Ziyang","Chen, Chen",,,,CE,3111,104,5,4,2,,,,,,,,,,,,,,,,0
"Choi, Wonjae","Balachandran, Balasubramaniam",,,,,MECH,3115,105,16,3,,,,,,,,,,,,,,,,,0
"Semper, William J","Shanbhag, Mahesh R",,,,,CS,6375,501,,32,6,13,6,2,,,,,,,,,,,,,0
"Namgoong, Won",,,,,,CE,3101,106,,7,,,,,,,2,,,,,,,,,,1
"Namgoong, Won",,,,,,EE,3101,106,,5,1,,,2,1,,,,,,1,,,,,,0
"Lee, Jung S","Wang, Zhengyang",,,,,ENGR,3300,009,1,7,1,3,15,3,1,10,2,,4,,,,,,,,0
"Bennett, Terrell R",,,,,,ECSC,2100,501,,23,,,6,1,,,,,,,,,,,,,1
"Hu, Yang","Bangar, Esha",,,,,CE,3302,002,3,5,1,,1,1,,,,,,,,,,,,,0
"Hu, Yang","Bangar, Esha",,,,,EE,3302,002,9,21,7,4,2,2,3,1,,,,,1,,,,,,0
"Min, Richard K","Hu, Yibo",,,,,CS,6364,501,,10,7,11,3,1,1,,,,,,1,,,,,,1
"Webb, Jennifer H","Eslami Manoochehri, Hafez",,,,,EE,3102,109,4,2,3,3,,,,,,,,,1,,,,,,2
"Tacca, Marco",,,,,,CE,4389,003,,9,1,,1,,1,,,,,,,,,,,,0
"Tacca, Marco",,,,,,EE,4389,003,,16,3,4,1,1,4,,,,,,,,,,,,0
"Hassanipour, Fatemeh","Jiang, Lin",,,,,MECH,3120,104,10,8,2,,,,,,,,,,,,,,,,0
"Qiu, Fang","Shi, Fan",,,,,GISC,6389,001,,,,,,,,,,,,,,,,,21,,0
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,1301,001,3,25,12,8,8,5,1,2,2,1,1,2,4,,,,,,0
"Roetzel, Natalie J",,,,,,PSCI,4396,HN1,,15,,,,,,,,,,,,,,,,,0
"Polk, Elmer O","Kanvinde, Vrishali",,,,,CRIM,1301,001,19,18,15,4,4,10,2,2,3,1,1,2,8,,,,,,1
"Parker, John",,,,,,CRIM,2306,001,1,6,5,3,5,3,6,5,3,1,1,,2,,,,,,0
"Shuraydi, Amny",,,,,,CRIM,3301,001,2,11,13,3,3,1,1,4,,,,,1,,,,,,0
"Vieraitis, Lynne M","Hayslip, Melissa P",,,,,CRIM,3302,001,,1,3,6,7,2,5,3,3,2,,,3,,,,,,3
"Polk, Elmer O","Shih, Meng Ru",,,,,CRIM,3303,001,8,12,6,2,4,,,,1,,,,6,,,,,,0
"Jacobs, Bruce A",,,,,,CRIM,3312,001,3,4,5,8,5,4,8,3,2,1,,1,,,,,,1,2
"Martin, Kelli D",,,,,,CRIM,4311,0W1,8,13,3,2,4,1,1,4,2,,,,2,,,,,,1
"Bray, Timothy M","Han, Sungil",,,,,CRIM,4322,001,4,3,6,9,6,3,,,,,1,,,,,,,,0
"Ketsler, Luba",,,,,,ECON,2301,001,3,13,8,5,22,6,4,21,12,3,7,1,12,,,,,,0
"Si, Xia",,,,,,ECON,2301,002,,27,24,9,12,5,3,1,,,,,8,,,,,,1
"Ahmadi, Maryam",,,,,,ECON,2302,001,4,5,6,5,13,10,10,9,4,3,1,,3,,,,,,3
"McElroy, Susan","Zhang, Licheng",,,,,ECON,2302,002,32,19,6,7,15,5,1,1,,,,,1,,,,,,0
"Andrews, Rodney J","Griffie, Vernicia A",,,,,ECON,3310,001,6,9,1,,5,1,2,6,,,,,8,,,,,,1
"Ketsler, Luba",,,,,,ECON,3330,001,7,27,6,10,10,4,1,3,1,,,1,3,,,,,,0
"Dumas, Lloyd",,,,,,ECON,4336,001,,7,6,11,13,,5,8,,,,,,,,,,1,0
"O'Brien, Daniel M",,,,,,ECON,4351,001,8,14,5,,7,,1,,,,,,4,,,,,,0
"Li, Dong","Hou, Aoyu",,,,,ECON,4355,001,3,6,4,2,2,3,2,2,,1,1,2,1,,,,,,1
"Kiser, Stephen L",,,,,,ECON,5322,501,,9,7,2,1,,,,,,,,,,,,,,0
"O'Brien, Daniel M","Choi, Soohyun",,,,,ECON,6306,501,,26,2,,,,,,,,,,,,,,,,0
"Sul, Donggyu",,,,,,ECON,6309,001,,5,8,4,1,,,,,,,,,,,,,1,3
"D'Orazio, Vito","Stanaland, Leslie",,,,,EPPS,6316,501,,8,4,6,2,,1,1,,,,,1,,,,,,1
"Brandt, Patrick","Bi, Jingnan",,,,,EPPS,7316,001,,4,3,5,3,3,,,,,,,,,,,,,0
"Hoang, Trang T",,,,,,PA,3333,001,3,3,8,1,1,3,,,,,,,1,,,,,,0
"Stewart, Marianne","Verma, Shaivya","Dzanie, Raphael K",,,,PSCI,3333,001,3,14,9,20,13,13,3,4,2,,1,,1,,,,,,4
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3331,001,1,4,4,4,3,7,3,,,,,,1,,,,,,1
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,2303,001,3,3,6,4,1,2,,1,,,,,2,,,,,,0
"Horn, Scott E","Koo, Hyeongmo",,,,,GISC,6388,501,,8,,,,,,,,,,,,,,,,,0
"Leblebicioglu, Asli","Montenegro Arana, Sebastian",,,,,ECON,3311,001,1,3,4,8,3,5,3,2,2,2,2,,1,,,,,,0
"Davis, Stephanie","Kim, Youngsil","Akarte, Prajakti V","Latiolais, Jasmine R",,,PSCI,3362,001,23,17,15,7,6,5,4,2,1,4,,,2,,,,,,3
"Ketsler, Luba",,,,,,ECON,2301,003,5,9,5,9,20,9,3,15,6,,6,2,5,,,,,,1
"Li, Xin","Yang, Shuo",,,,,ECON,2302,003,1,10,7,18,19,14,9,3,3,1,,,1,,,,,,2
"Okeem, Chidike I",,,,,,CRIM,3319,001,,5,12,4,6,2,1,,,,,,1,,,,,,0
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3370,001,,2,5,4,7,4,2,2,,,1,,1,,,,,,0
"Harpham, Edward","Chin, Michelle L",,,,,PSCI,4370,HN1,,47,,,,,,,,,,,,,,,,,1
"Daly, John A","Chin, Michelle L",,,,,PSCI,4372,HN1,,47,,,,,,,,,,,,,,,,,1
"Swerdlow, Joel L","Chin, Michelle L",,,,,PSCI,4373,HN1,,47,,,,,,,,,,,,,,,,,1
"McCaskill, John R",,,,,,PA,6320,501,,14,,,,,,,,,,,,,,,,,1
"Polk, Elmer O","Shih, Meng Ru",,,,,CRIM,3310,001,34,16,7,1,1,6,2,,3,,,,2,,,,,,1
"Maskaly, Jonathan","Hernandez, Richard",,,,,CRIM,6311,001,,1,3,1,4,,,,,,,,,,,,,,0
"Kiel, Lowell D",,,,,,PA,4340,001,,7,3,5,2,4,,3,,,,,,,,,,,0
"Valcarcel, Victor J",,,,,,ECON,7302,501,,1,5,2,,3,,1,,,,,,,,,,,0
"Cummings, Anthony R","Liau, Yan-Ting",,,,,GEOG,2302,001,1,,3,1,5,5,1,1,2,1,,,1,,,,,,0
"Goodman, Doug",,,,,,PA,6399,501,,8,1,3,,,,,,,,,,,,,,,0
"Hughes, Amy E","Hu, Lan",,,,,GISC,6381,501,,7,3,2,2,1,,2,,,,,,,,,,1,1
"Benavides, Teodoro J",,,,,,PA,6342,0W1,,13,,,,,,,,,,,,,,,,,0
"Benavides, Teodoro J",,,,,,ECON,6372,0W1,,10,,,,,,,,,,,,,,,,,0
"Seagroves, Tony A",,,,,,PSCI,4V66,501,8,10,,,1,,,,,,,,,,,,,,0
"Dow, Douglas C",,,,,,GOVT,2306,HN1,2,9,7,3,2,,,,,,,,,,,,,,0
"Polk, Elmer O","Kanvinde, Vrishali",,,,,CRIM,2317,001,9,9,4,1,4,2,,1,,,,,4,,,,,,0
"Dell, Brent",,,,,,GISC,4325,001,,4,5,2,2,1,1,,,,,,,,,,,,0
"Chastain, Bryan J","Yu, Xiaohe",,,,,GISC,4382,001,,2,3,2,,,,3,1,,,,1,,,,,,3
"Lowe, Evan","Gutierrez Mannix, Carlos Daniel","Cando Naranjo, Jose J",,,,GOVT,2306,004,23,38,46,20,18,19,19,10,15,3,4,6,16,,,,,,1
"Davis, Stephanie","Akarte, Prajakti V","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2306,005,167,28,28,13,11,13,3,3,5,1,1,1,3,,,,,,2
"Ratliff, Lauren A","Gathman, Adrienne E","Parker, Misty D","Rhyu, Kyunghee",,,GOVT,2306,001,34,52,32,23,38,19,11,30,11,8,3,2,13,,,,,,2
"Larue, Patrick","Das, Soham","Sun, Zeyu",,,,GOVT,2305,001,,9,22,12,40,17,11,27,12,9,11,10,31,,,,,,5
"Cummings, Anthony R","Liau, Yan-Ting",,,,,ENVR,2302,001,3,1,2,1,2,2,1,2,,,,1,1,,,,,,0
"White, Lionel S","Savage, Tiffany L",,,,,GISC,5322,001,,7,1,,1,,,,,,,,,,,,,,0
"Modjarrad, Shahin S",,,,,,PSCI,4364,001,40,,,1,,,,1,,,,1,1,,,,,1,0
"White, Lionel S","Savage, Tiffany L",,,,,GISC,5324,501,,10,1,,,,,,,,,,,,,,,,0
"Powell, Zachary A",,,,,,CRIM,3300,001,,9,6,7,5,4,5,1,,,,,3,,,,,,1
"McKay, Brian",,,,,,CRIM,4337,501,3,3,4,1,1,1,2,2,5,1,,,,,,,,,3
"Leeper Piquero, Nicole","Piquero, Alexis M",,,,,CRIM,7315,001,,2,,2,2,,,,,,,,,,,,,,0
"Leblebicioglu, Asli","Montenegro Arana, Sebastian",,,,,ECON,4382,001,3,3,4,8,4,7,2,3,1,1,,,,,,,,,2
"Li, Xin","Yang, Shuo",,,,,ECON,7301,001,,2,4,4,,2,,,,,,,,,,,,,0
"Yuan, May","Karale, Yogita Y",,,,,GISC,6385,001,,7,1,,3,1,,1,,,,,,,,,,1,0
"Qiu, Fang","Shi, Fan",,,,,GISC,7365,001,,8,2,1,,,,,,,,,,,,,,,1
"Suh, Ji Won",,,,,,PSCI,3310,001,,3,6,4,2,,,,,,,1,,,,,,,0
"Harrington, James",,,,,,PA,2325,001,,4,4,5,,,,,,,,,,,,,,,0
"Suh, Ji Won",,,,,,PA,3310,001,4,4,6,,3,2,2,,,,,2,,,,,,,0
"Cohen, Galia",,,,,,PA,4345,001,,1,4,2,3,4,3,4,1,,1,,,,,,,,4
"Benavides, Teodoro J",,,,,,PA,6344,501,,9,,,,,,,,,,,,,,,,,0
"McCaskill, John R",,,,,,PA,7314,001,,6,,,,,,,,,,,,,,,,,0
"Battaglio, Randy P",,,,,,PA,7350,501,,8,,,,,,,,,,,,,,,,,0
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3352,0W1,2,11,20,10,4,4,4,4,6,1,2,1,1,,,,,,1
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4384,001,2,12,7,5,8,,,1,2,,,,,,,,,1,1
"Kim, Dohyeong","Zaychik, Danielle",,,,,PPPE,6321,501,,8,8,8,1,1,,,,,,,,,,,,,1
"Hicks, Donald",,,,,,PPPE,6342,001,,2,1,1,1,2,,1,,,,,1,,,,,1,1
"Sutton, Kara L",,,,,,EPPS,2301,001,12,29,18,18,5,2,,2,1,,,,3,,,,,,0
"Sutton, Kara L",,,,,,EPPS,2302,501,14,26,8,12,8,2,2,1,4,,,,6,,,,,1,2
"Grover, William C",,,,,,EPPS,6313,501,,6,4,4,5,2,,,,,,,2,,,,,1,2
"Elliott, Euel W","Rejepov, Vepa",,,,,GOVT,2306,002,,21,25,14,15,18,15,11,6,6,,1,8,,,,,,2
"Lee, Young-Joo",,,,,,PA,6382,501,,11,8,,1,1,,,,,,,1,,,,,,0
"Wheeler, Andrew",,,,,,CRIM,4323,0H1,,16,,,2,,,1,,,,,,,,,,,0
"Huskey, Michael",,,,,,CRIM,1301,0W1,,16,7,6,3,6,6,6,1,1,1,1,9,,,,,,4
"Kovandzic, Tomislav",,,,,,CRIM,1307,0W1,4,28,16,16,7,2,1,,,,1,,4,,,,,,0
"Valcarcel, Victor J",,,,,,ECON,3312,001,,6,,2,4,1,2,7,,,6,,3,,,,,,9
"Wunder, Timothy",,,,,,ECON,2302,0W1,,16,1,,32,3,3,36,5,,16,1,17,,,,,,4
"Siqueira, Kevin J",,,,,,ECON,4360,001,2,7,2,4,3,2,3,2,,,1,2,1,,,,,,0
"Elliott, Euel W","Rejepov, Vepa",,,,,PPPE,6347,001,,5,,2,,1,,,,,,,1,,,,,1,1
"Davis, Stephanie","Kim, Youngsil","Latiolais, Jasmine R","Akarte, Prajakti V",,,GOVT,2305,003,64,38,36,29,21,24,15,13,8,5,3,1,3,,,,,,3
"Qiu, Fang","Shi, Fan",,,,,GISC,6384,001,,16,1,1,,2,,,,,,,1,,,,,1,1
"Kim, Alisha A",,,,,,EPPS,2301,003,,12,6,2,7,1,,,1,,,,4,,,,,,0
"Peinhardt, Clint W","Cavallo De Oliveira, Paulo Marcio",,,,,PSCI,4356,001,1,6,9,5,9,7,3,2,1,1,2,,2,,,,,,0
"Kiel, Lowell D",,,,,,PA,6326,501,,1,2,2,2,,,,,,,,,,,,,,0
"Chordiya, Rashmi V",,,,,,PA,3380,0W1,6,22,2,4,4,1,,2,,,,,1,,,,,,0
"Sabharwal, Meghna",,,,,,PA,6311,501,,16,,,1,,,,,,,,,,,,,,1
"Cummings, Anthony R","Liau, Yan-Ting",,,,,GISC,4386,001,2,2,3,5,1,3,1,,1,,,,2,,,,,,1
"Carlsen-Landy, Beverly L",,,,,,SOC,1301,0W1,5,10,7,5,1,3,1,2,2,2,3,,7,,,,,,1
"Elliott, Euel W","Rejepov, Vepa",,,,,PSCI,6347,001,,8,7,1,,,,,,,,,,,,,,,0
"Harrington, James",,,,,,PA,6315,501,,12,6,3,,,,,,,,,,,,,,1,1
"Earle, Doric E",,,,,,ECON,3330,501,,14,5,5,4,,,,1,,,,,,,,,,0
"O'Brien, Daniel M","Choi, Soohyun",,,,,ECON,6306,502,,22,2,,,,,,,,,,,,,,,,0
"Malek-Ahmadi, John H",,,,,,SOC,2320,0W1,,24,6,4,13,,1,,,,,,,,,,,,2
"Carlsen-Landy, Beverly L",,,,,,SOC,2305,0W1,,1,2,,3,3,2,1,1,1,,,5,,,,,,0
"Kim, Kwang Soo",,,,,,ECON,2301,501,4,2,2,2,3,,,1,2,,1,,1,,,,,,1
"Ramezani, Rasoul",,,,,,ECON,2302,501,2,6,3,1,,3,3,1,3,2,,2,2,,,,,,1
"Giertz, Seth","Nguyen, Hien T",,,,,ECON,4320,001,1,7,3,12,1,9,2,2,1,,,,,,,,,,0
"Chen, Patricia M",,,,,,EPPS,2301,002,,7,5,5,4,5,6,4,5,,,1,3,,,,,,4
"Malek-Ahmadi, John H",,,,,,SOC,3325,0W1,,40,2,7,8,1,,1,,,,,,,,,,,0
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,4357,001,2,16,11,1,9,6,4,5,3,,,,2,,,,,,1
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4306,001,2,3,1,1,2,2,,,,,,,,,,,,,0
"Arguelles, Ariel",,,,,,PA,3379,001,9,4,4,,,,,2,,,,,,,,,,,0
"Gorina, Evgenia","Zvobgo, Varaidzo",,,,,PA,6374,0W1,,3,3,2,,,,,,,,,1,,,,,,0
"Alexander, Bobby",,,,,,EPPS,7V81,001,,6,1,,,,,,,,,,,,,,,1,0
"Lowe, Evan","Zengin, Abdullah Furkan","Endicott, Connor W",,,,GOVT,2306,003,27,27,31,12,15,10,6,1,5,3,1,1,5,,,,,,1
"Bray, Timothy M","Han, Sungil",,,,,CRIM,2313,001,2,4,6,5,,2,,,2,2,1,,2,,,,,,0
"Alexander, Bobby","Love-Hal, Jewell N",,,,,SOC,3333,001,12,9,19,5,7,7,2,,,,,,2,,,,,,0
"Lowe, Evan",,,,,,PSCI,3301,001,6,13,11,8,5,7,2,1,1,,,2,5,,,,,,2
"Gorina, Evgenia",,,,,,PA,3378,001,,2,4,1,1,,3,,,,,,1,,,,,,1
"Ketsler, Luba",,,,,,ECON,3330,002,2,22,6,12,20,2,,1,,,,,,,1,,,,5
"Grover, William C",,,,,,ECON,6306,503,,25,2,,1,,,,,,,,,,,,,,0
"Wright, David A",,,,,,BIS,3320,501,7,9,3,2,8,3,3,6,,,,,1,,,,,,0
"Hudson, Jennifer M",,,,,,BIS,3320,001,2,6,8,3,3,5,,2,1,1,,,3,,,,,,0
"Hudson, Jennifer M",,,,,,BIS,3320,002,3,8,6,4,3,1,1,,1,,,,1,,,,,,2
"Wissinger, Tonja",,,,,,BIS,3320,003,,7,,4,7,,2,2,,,3,,3,,,,,,3
"Fagg, Sharon",,,,,,ED,3314,001,11,9,1,,7,2,,1,,,,,1,,,,,,0
"Leek, Patricia A",,,,,,ED,3315,501,,6,1,1,1,2,,,,,,,,,,,,,0
"Nelson, Robert E",,,,,,ED,3339,001,11,17,5,8,3,1,1,,,,,,1,,,,,,1
"Haun, Julia T",,,,,,ED,3340,501,1,3,5,,3,3,,5,,,1,,1,,,,,,0
"McNulty, Angela B",,,,,,ED,3345,001,,5,8,1,3,,,,,,,,,,,,,,1
"McNulty, Angela B",,,,,,ED,3345,501,,5,3,2,1,,,1,,,,,,,,,,,0
"Schlosser, Polly",,,,,,ED,3382,501,3,10,5,3,1,1,,,,,,,,,,,,,1
"Hennessy, Emily T",,,,,,ED,4343,001,10,2,1,,,1,,,,,,,,,,,,,0
"Huisman, Ingrid",,,,,,ED,4344,501,,3,5,3,10,1,,,,,,,,,,,,,0
"McNulty, Angela B",,,,,,ED,4352,001,,1,3,3,10,1,,,,,,,,,,,,,0
"McNulty, Angela B",,,,,,ED,4352,002,,4,8,5,2,,,,,,,,,,,,,,0
"Starke, Tamera",,,,,,ED,4353,001,12,5,1,,3,,,,,,,,,,,,,,0
"Chandler, Candice",,,,,,ED,4357,001,,3,1,,,1,1,3,3,,,,,,,,,,0
"Chandler, Candice",,,,,,ED,4357,002,,3,2,3,3,2,1,2,1,,,,,,,,,,0
"Parker, Teresa L",,,,,,ED,4361,501,,11,3,,,,,,,,,,,,,,,,0
"Chandler, Candice",,,,,,ED,4363,001,1,5,4,,,2,,,,,,,,,,,,,0
"Parker, Teresa L",,,,,,ED,3342,501,,15,1,1,,,,,,,,,,,,,,,0
"Byrnes, Kathleen A",,,,,,HLTH,1100,001,2,32,204,7,2,,,,,,,,,,,,,,0
"Day, Lora N",,,,,,HLTH,1322,0W1,,9,10,6,13,5,1,4,1,,2,,3,,,,,,4
"Sandon, Lona",,,,,,HLTH,3101,0W1,,148,,,2,,,,,,,,,,,,,,0
"Simpson, Carrie M",,,,,,BIS,4306,0W1,2,1,5,7,2,2,,,1,1,,,6,,,,,,2
"Winstead, Elizabeth L",,,,,,AMS,3350,001,9,5,3,2,4,2,,1,,,,,2,,,,,,0
"Wissinger, Tonja",,,,,,ISIS,3312,001,2,6,1,1,5,1,,3,3,,2,,,,,,,,0
"Weiner, Michelle L",,,,,,ED,4345,501,1,2,3,2,1,1,,,,,,,,,,,,,0
"Rainey, Anthony D",,,,,,HLTH,4108,001,19,7,,,1,,,,,,,,2,,,,,,0
"Byrnes, Kathleen A",,,,,,HLTH,3301,001,,3,6,3,8,17,7,8,5,2,4,4,2,,,,,,1
"Edwards, Christopher W","Henry, Loreen S",,,,,BIS,3190,0W2,14,7,1,4,3,1,,,,,,,1,,,,,,0
"Starke, Tamera",,,,,,AMS,4300,001,7,5,,2,,,,,1,,,,1,,,,,,0
"Byrnes, Kathleen A",,,,,,HLTH,3315,001,,3,22,17,28,30,10,6,6,2,3,2,2,,,,,,0
"Baetge, Claire",,,,,,HLTH,1301,0W1,3,18,5,1,4,1,1,1,1,,,,,,,,,,0
"Duquaine-Watson, Jill M",,,,,,HLTH,3310,001,15,15,12,10,7,2,2,,1,,,1,1,,,,,,1
"Gold, Terry",,,,,,PHIN,1120,001,,20,,,,,,,,,,,2,,,,,,0
"Leek, Patricia A",,,,,,ED,3315,002,,8,,,1,,,,,,,,1,,,,,,1
"Edwards, Christopher W","Henry, Loreen S",,,,,BIS,3190,0H1,15,4,3,1,4,1,1,,1,,,,2,,,,,,0
"Nix, Rebekah K",,,,,,ED,4372,0W1,11,5,,,1,,,,,,,,,,,,,,0
"Nix, Rebekah K",,,,,,ED,4372,0W2,9,1,,,3,1,,,,,,,3,,,,,,0
"Nix, Rebekah K",,,,,,ED,4372,0W3,3,5,,,1,,,,,,,,1,,,,,,0
"Werhnyak, Larissa",,,,,,GST,2300,001,,6,4,5,5,5,1,1,,,,,2,,,,,,1
"Winstead, Elizabeth L",,,,,,AMS,3316,001,14,11,1,4,,,1,1,,,,,,,,,,,0
