Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Subramaniam, Palanivel","Sorathia, Vashisth",,,,,ITSS,4V95,501,1,3,3,2,8,5,,2,4,,,,,,,,,,1
"Ozel, Naim Bugra","Juarez Herrera, Pablo J",,,,,ACCT,6305,502,,6,8,9,4,2,,,,,,,,,,,,,0
"Ozel, Naim Bugra","Juarez Herrera, Pablo J",,,,,ACCT,6305,501,,12,15,22,3,3,,,,,,,,,,,,,0
"Blair, Ronald J","Nguyen, Ploysirin K",,,,,ACCT,6335,501,,11,7,5,5,4,,1,,,,,,,,,,,1
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,6343,001,,14,,,5,,,,,,,,,,,,,,0
"Roy Bardhan, Anindita","Albritton, Jason M",,,,,ACCT,6373,001,,7,,,17,,,4,,,,,,,,,,,0
"Barden, John P","Vinayagam, Chidambara P",,,,,ACCT,6373,0W1,,20,,,40,,,,,,,,,,,,,,0
"Roy Bardhan, Anindita","Albritton, Jason M",,,,,ACCT,6373,501,,9,,,23,,,4,,,,,1,,,,,,0
"Reid, David","Juarez Herrera, Pablo J",,,,,ACCT,6388,501,,34,1,,,,,,,,,,,,,,,,0
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,4340,001,12,15,4,8,4,,,3,1,,,,2,,,,,,0
"Hicks, Jeffrey N","Liu, Yu",,,,,OBHR,3310,501,1,11,18,7,4,4,2,,,,,,1,,,,,,0
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,502,4,10,8,5,7,12,1,,,,,,1,,,,,,0
"Qiu, Ye",,,,,,MKT,3300,014,5,16,14,7,3,,,,,,,,1,,,,,,0
"Pacyna, Sandra",,,,,,MKT,3300,015,3,17,8,7,8,2,1,1,,1,,,,,,,,,1
"Gafford, Jerome M",,,,,,MKT,3330,003,10,5,3,3,1,2,,1,,,,,2,,,,,,0
"Amirpour, Semiramis",,,,,,MKT,3330,004,14,5,3,1,1,,1,,2,,1,1,,,,,,,1
"Edsel, Alexander D",,,,,,MKT,4330,0W1,1,9,9,2,5,10,4,3,,1,1,,1,,,,,,1
"Dover, Howard F",,,,,,MKT,4332,002,2,6,1,3,2,2,1,1,,,1,,,,,,,,0
"Corbin, Sonja C",,,,,,MKT,4380,501,3,6,8,3,5,1,1,1,,,,,,,,,,,0
"Ramanathan, Kannan","Wilson, Elizabeth A","Venkataraman, Sundar",,,,OPRE,6332,0W1,,16,4,3,5,11,1,1,,,,,2,,,,,,0
"Parks, David",,,,,,OPRE,6367,001,,14,,,3,,,,,,,,,,,,,,1
"Deluke, Eugene","Patil, Lalit D",,,,,OPRE,6369,0W2,,30,,,17,,,1,,,,,,,,,,,0
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6341,0W1,,14,5,4,3,,,,,,,,1,,,,,,1
"harrop, Jonathan",,,,,,MKT,4334,001,6,11,8,4,6,,2,,,,,,,,,,,,2
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,016,2,8,12,8,3,8,1,2,,,,,2,,,,,,1
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6301,MBC,,15,11,18,7,2,,,,,,,,,,,,,0
"Reichert, Carolyn A",,,,,,FIN,6301,MBC,,13,15,6,14,2,,2,,,,,1,,,,,,0
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,MBC,,27,8,7,11,,,,,,,,,,,,,,0
"Dess, Gregory","Kim, Kyun",,,,,BPS,6310,MBC,,16,,,28,,,1,,,,,,,,,,,0
"Peng, Mike","Yeo, Yundong",,,,,IMS,6204,MBC,,23,,,22,,,,,,,,,,,,,,0
"Richardson, Debra L",,,,,,RMIS,4331,001,,12,3,6,3,,4,1,,,,,,,,,,,0
"Richards, James R",,,,,,FIN,6311,001,,11,4,2,2,,,,,,,,,,,,,,0
"Kim, Yeongin",,,,,,ITSS,3312,001,,30,10,5,2,1,,,,,,,,,,,,,0
"Narayan, Ravishankar L","Godasi, Sai Ram Bharadwaj",,,,,BUAN,6320,001,,43,5,8,1,,,,,,,,,,,,,,0
"Nketia, Joseph A",,,,,,ACCT,4337,501,,4,,5,4,4,3,,2,,,,2,,,,,,0
"Richards, James R",,,,,,ACCT,4337,001,2,10,7,5,3,3,1,2,1,,,,1,,,,,,1
"Kuo, Ching-Chung","Ye, Wenhe","Ouseph, Sunil T",,,,BUAN,6398,001,,21,4,4,15,1,2,15,,,,,,,,,,,0
"Richardson, Debra L",,,,,,RMIS,3370,001,,3,2,,3,,1,1,,,,,,,,,,,0
"Bradbury, Judd D","Solanki, Rom Prakash","Khandelwal, Ashish",,,,MKT,6338,001,,2,5,5,2,2,,,,,,,,,,,,,0
"Mauriello, Joseph A","Hale, Seth M",,,,,MIS,6337,001,,8,9,2,3,,,,,,,,,,,,,,0
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,BUAN,6320,501,,32,2,,1,,,,,,,,,,,,,,1
"Grigsby, Mike",,,,,,MKT,6337,501,,2,,,9,,,,,,,,,,,,,,0
"Grigsby, Mike",,,,,,BUAN,6337,501,,19,,,20,,,,,,,,,,,,,,0
"Thouin, Mark","Gajjar, Sarthak V",,,,,MIS,6360,002,,25,20,16,1,1,,,,,,,,,,,,,0
"Walton, Michaella",,,,,,BCOM,3310,001,,1,5,6,7,2,3,2,2,1,1,,,,,,,,0
"Moore, Sarah E","O'Dell, Daniel A",,,,,BCOM,3310,002,3,20,3,3,3,,1,1,,,,,,,,,,,0
"Moore, Sarah E","O'Dell, Daniel A",,,,,BCOM,3310,003,3,18,3,3,2,2,1,1,2,,,,,,,,,,0
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,006,,10,21,2,1,,,,1,,,,,,,,,,0
"Marchant, Joe T",,,,,,BCOM,3310,007,2,4,1,2,1,1,1,1,,,,,1,,,,,,0
"Sluder, Jeanne",,,,,,BCOM,3310,009,6,10,4,5,5,2,,,,,,,1,,,,,,0
"Sluder, Jeanne",,,,,,BCOM,3310,010,4,25,3,2,,,,1,,,,,,,,,,,0
"Thompson, Luell O",,,,,,MIS,6319,0W1,,9,,,7,,,,,,,,,,,,,,0
"Kuo, Ching-Chung","Ye, Wenhe","Ouseph, Sunil T",,,,BUAN,6398,002,,20,4,3,18,1,1,6,,,,,1,,,,,,0
"Sethi, Awanti","Gokcinar, Abdullah H",,,,,OPRE,6332,503,,32,1,10,8,2,,2,,,,,,,,,,,0
"Sadka, Gil",,,,,,ACCT,7344,001,,7,,,,,,,,,,,,,,,,,0
"Connell, Michelle",,,,,,FIN,4380,501,2,7,2,8,6,1,1,1,,,,,,,,,,,0
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,004,,17,15,2,1,,,,,,,,,,,,,,1
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,005,2,16,12,1,1,1,,1,1,,,,,,,,,,0
"Fry, Jennifer L",,,,,,BCOM,3310,008,5,9,3,1,2,1,,1,,1,,,,,,,,,0
"Sluder, Jeanne",,,,,,BCOM,3310,011,,26,4,3,,1,,,,,,,1,,,,,,0
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,3310,012,1,9,8,2,5,4,2,,,,1,1,1,,,,,,0
"Steadham, Kyle S",,,,,,BCOM,3310,501,,10,4,,,,,,,,,,,,,,,,0
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3310,HON,8,52,2,,,,,,,,,,,,,,,,0
"Betanzos, Christina L","Ayala, Nestor A",,,,,BLAW,2301,004,,10,15,13,12,14,6,5,4,,2,,9,,,,,,0
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,001,1,10,,5,19,,4,4,,,,,,,,,,,1
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,001,,6,2,4,2,,,,,,,,,,,,,,0
"Mookerjee, Radha","Bhaskerla, Swetcha P",,,,,BUAN,6324,002,,,2,5,2,,,,,,,,,,,,,,0
"Menon, Syam","Hosseini, Leila",,,,,BUAN,6324,0W1,,5,2,1,3,,1,,,,,,,,,,,,0
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,501,,2,,3,2,,,,,,,,,,,,,,0
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6335,501,,11,5,1,1,,,,,,,,,,,,,,0
"Blueshtein, Moran","Han, Munhee",,,,,BUAN,6312,501,,11,6,9,6,7,3,2,,,,,,,,,,,0
"Molina, Stephen",,,,,,ENGY,3300,001,1,3,3,3,5,,,1,,,,,,,,,,,0
"Molina, Stephen",,,,,,ENGY,6330,501,,12,5,2,,,,,,,,,,,,,,,0
"Guengerich, Steven","Aziz, Fasahat",,,,,ENTP,3301,502,,3,,,3,,,3,,,,,,,,,,,2
"Ayres, Jeffrey A",,,,,,FIN,4345,501,4,6,7,6,2,,1,,,,,,,,,,,,0
"Rahman, Nasir","Nie, Weikang",,,,,FIN,6368,001,,5,9,4,4,3,,,,,,,,,,,,,0
"Mauriello, Joseph A","Paul, Sapna",,,,,ACCT,6386,001,,13,8,5,2,,,,,,,,,,,,,,1
"Rivera Mesias, Alejandro","Rupp, Anin D",,,,,FIN,3350,501,1,7,1,5,4,1,2,2,1,,,,,,,,,,1
"Berrett, Britt R","Myneni, Nitish","Vasquez, Paula A",,,,HMGT,3301,003,4,31,8,2,5,1,1,1,1,,,,,,,,,,1
"Jenkins, Kristin M",,,,,,HMGT,3310,501,12,9,12,6,5,3,1,,,1,,,,,,,,,0
"Ramanathan, Kannan",,,,,,HMGT,6321,0W1,,6,3,4,3,4,1,,,,,,1,,,,,,0
"Hazzard, Charles F",,,,,,IMS,3310,HON,5,16,3,,,,,,,,,,,,,,,,0
"Reed, Richard","Kopparapu, Hanuman Abhishek",,,,,ITSS,3300,001,,4,3,8,9,5,8,3,2,2,,4,,,,,,,0
"Molina, Stephen",,,,,,MECO,4342,001,2,3,6,6,1,,,,,,,,1,,,,,,0
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,001,,12,8,6,8,,,,,,,,,,,,,,0
"Mookerjee, Radha","Bhaskerla, Swetcha P",,,,,MIS,6324,002,,3,15,16,5,1,1,1,,,,,,,,,,,0
"Menon, Syam","Hosseini, Leila",,,,,MIS,6324,0W1,,6,5,2,1,1,2,,,,,,,,,,,,1
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,501,,14,6,16,5,1,,,,,,,,,,,,,0
"Geng, Xianjun","Zhang, Haozhao",,,,,MIS,6334,001,,6,14,14,9,6,1,2,,,,,,,,,,,1
"Geng, Xianjun","Zhang, Haozhao",,,,,MIS,6334,002,,15,16,13,9,5,,,,,,,,,,,,,0
"Menon, Syam","Hosseini, Leila",,,,,MIS,6334,0W1,,9,7,8,3,1,2,,,,,,,,,,,,1
"Ramanathan, Kannan","Wilson, Elizabeth A",,,,,OPRE,6364,0W1,,27,10,15,2,1,1,,,,,,1,,,,,,1
"Slaughter, Kelly T","Akarte, Prajakti V",,,,,MIS,6380,002,,18,6,10,12,14,,,,,,,,,,,,,0
"Dickinson, Keith",,,,,,MKT,4338,501,13,13,,,1,,,2,,,,,1,,,,,,0
"Edsel, Alexander D",,,,,,MKT,6341,601,,8,3,2,3,,,,,,,,,,,,,,0
"Kavanaugh, Jeff L",,,,,,MKT,6342,501,,17,11,7,7,2,1,,,,,,,,,,,,0
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6303,501,,9,,,10,,,,,,,,,,,,,,0
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6331,001,,20,,,18,,,,,,,,,,,,,,0
"Ritchey, David B",,,,,,OBHR,3310,013,5,8,9,9,11,2,1,2,1,,,,1,,,,,,0
"Edgington, Kyle D",,,,,,OBHR,4300,501,29,20,8,2,,,,,,,,,,,,,,,0
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,4334,001,1,3,12,1,4,7,2,1,1,,,,1,,,,,,0
"Kaplan, Larry S",,,,,,RMIS,4334,501,3,6,3,,2,,,,,2,,,,,,,,,0
"Narayan, Ravishankar L","Pathania, Deepima",,,,,MIS,6364,501,,7,3,2,,,,,,,,,,,,,,,0
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,3310,013,3,10,6,2,3,5,,1,3,,1,,1,,,,,,0
"Fry, Jennifer L",,,,,,BCOM,3310,502,6,12,9,4,1,,1,,1,,,,,,,,,,0
"Wu, Fang","Qian, Kun",,,,,MKT,6301,005,,4,3,3,4,,,,,,,,,,,,,,0
"Xie, Ying","Ameri, Mina",,,,,MKT,6301,006,,10,9,12,11,8,,,,,,,,,,,,,0
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,001,,5,,4,5,,,,,,,,,,,,,,0
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,501,,,1,7,3,,,,,,,,,,,,,,0
"Wu, Fang","Qian, Kun",,,,,MKT,3300,017,1,6,2,7,12,3,10,2,2,2,1,,1,,,,,,0
"Wu, Fang","Qian, Kun",,,,,MKT,3300,018,1,10,5,5,7,5,4,4,2,1,,1,2,,,,,,1
"Lim, Bo Ram",,,,,,MKT,3300,019,4,5,10,6,5,6,4,6,,,1,,,,,,,,1
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,003,,8,4,18,4,2,,,,,,,,,,,,,0
"Parker, Jason A","Chava, Soumya",,,,,MIS,6356,501,,17,2,2,1,,,,,,,,,,,,,,0
"Hefley, William E","Pathania, Deepima",,,,,ITSS,4370,001,1,7,4,9,18,3,5,3,2,,,,1,,,,,,2
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,001,,5,12,3,6,5,,,,,,,,,,,,,0
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,002,,9,13,4,4,5,,,,,,,1,,,,,,0
"Saeed, Kashif","Jain, Mohit",,,,,MIS,6345,001,,14,9,12,15,1,,,,,,,,,,,,,0
"Slaughter, Kelly T","Gharge, Padmaja","Akarte, Prajakti V",,,,ITSS,4355,002,1,10,2,5,5,3,2,3,2,,,1,1,,,,,,0
"Richardson, Debra L",,,,,,FIN,4331,001,,1,3,4,2,2,1,3,,,,,,,,,,,0
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,OPRE,6393,501,,6,6,1,,,,,,,,,,,,,,,0
"Parker, Jason A","Chava, Soumya",,,,,BUAN,6356,501,,27,6,,2,,,,,,,,,,,,,,1
"Parker, Jason A","Phansikar, Gauri D",,,,,BUAN,6356,502,,49,9,1,,,,,,,,,,,,,,,0
"Kaplan, Larry S",,,,,,FIN,4334,501,3,1,4,1,,1,2,,,,1,,,,,,,,0
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,003,,1,,8,,1,,,,,,,,,,,,,0
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,003,,2,2,8,3,2,,,,,,,,,,,,,0
"Lahiri, Atanu","Phansikar, Gauri D",,,,,MIS,6309,003,,9,11,2,1,2,,,,,,,,,,,,,0
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6320,003,,34,12,12,2,,,,,,,,,,,,,,0
"Springate, David J",,,,,,FIN,6311,501,,2,6,3,4,2,,,,,,,,,,,,,1
"Springate, David J",,,,,,ENTP,6311,501,,3,2,1,,,,,,,,,,,,,,,0
"Wright, Robert G",,,,,,ENTP,3320,001,,1,1,6,3,,,,,,1,,,,,,,,0
"Mjigal, Tahar",,,,,,FIN,6V99,001,,10,10,,,,,,,,,,,,,,,,0
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6320,002,,19,10,6,,1,,,,,,,,,,,,,0
"Owens, Dawn M","Akhil Gopinath, FNU",,,,,ITSS,4300,501,,9,,8,5,4,1,1,1,1,1,,1,,,,,,1
"Blueshtein, Moran","Han, Munhee",,,,,MECO,6312,001,,3,2,2,2,,,,,,,,1,,,,,,1
"Blueshtein, Moran","Han, Munhee",,,,,BUAN,6312,001,,7,10,8,10,8,2,,,,,,,,,,,,1
"Parks, David",,,,,,OPRE,6367,501,,13,,,2,,,,,,,,,,,,,,0
"Bardhan, Indranil R","Chava, Soumya",,,,,BUAN,6356,002,,17,12,14,8,,,3,,,,,,,,,,,0
"Narasimhan, Prithi","Ranabothu, Kavya",,,,,MIS,6308,502,,12,24,15,6,,,1,,,,,1,,,,,,0
"Zheng, Zhiqiang","Mishra, Sailendra P",,,,,MIS,6334,0W2,,5,,6,3,1,,,,,,,,,,,,,0
"Slaughter, Kelly T","Akarte, Prajakti V",,,,,MIS,6380,003,,13,10,16,13,7,,,,,,,,,,,,,0
"Edsel, Alexander D",,,,,,MKT,4330,0W2,2,2,2,3,5,7,1,1,,1,1,1,3,,,,,,3
"Wang, Shouqiang","Sul, Inki",,,,,OPRE,4350,501,4,4,2,1,4,1,2,3,1,1,,1,4,,,,,,1
"Yang, Mingwen",,,,,,ITSS,3312,002,20,13,5,3,3,1,2,,,,,,,,,,,,0
"Manzi, Jeff","Chen, Chen",,,,,FIN,6314,001,,4,2,8,6,2,,,,,,,,,,,,,0
"Thouin, Mark","Gajjar, Sarthak V","Bhaskerla, Swetcha P","Gharge, Padmaja",,,MIS,6324,004,,25,8,7,3,,,,,,,,,,,,,,0
"Abeykoon, Nimali C","Malekpour, Soheil",,,,,CHEM,1111,101,1,15,2,4,,2,,,,,,,4,,,,,,1
"Karunathilake, Arosha A","Li, Siqing",,,,,CHEM,1111,103,,4,2,6,4,1,1,2,2,,,,8,,,,,,0
"Abeykoon, Nimali C","Malekpour, Soheil",,,,,CHEM,1111,104,4,14,5,1,1,1,,,,,,,1,,,,,,2
"Dissanayake, Dushanthi S","Buford, Jonathan D",,,,,CHEM,1111,105,7,11,6,2,1,,1,,,,1,,,,,,,,0
"Karunathilake, Arosha A","Li, Siqing",,,,,CHEM,1111,106,,11,7,3,6,,,,,,,,3,,,,,,0
"Gavva, Sandhya R","Malekpour, Soheil",,,,,CHEM,1111,107,7,14,2,2,1,2,,,1,,,,1,,,,,,0
"Nielsen, Steven","Buford, Jonathan D",,,,,CHEM,1111,108,3,10,6,2,1,2,1,4,,,,,1,,,,,,0
"Abeykoon, Nimali C","Durand Silva, Alejandra",,,,,CHEM,1111,109,,14,3,3,1,2,1,,1,1,,,1,,,,,,2
"Gavva, Sandhya R","Brohlin, Olivia R",,,,,CHEM,1111,110,4,14,5,3,1,1,,,,,1,,1,,,,,,0
"Dissanayake, Dushanthi S","Weiland, Ashley",,,,,CHEM,1111,111,2,13,1,4,3,3,,1,,,1,,,,,,,,2
"Karunathilake, Arosha A","Durand Silva, Alejandra",,,,,CHEM,1111,112,8,15,2,1,1,1,,1,,,,,,,,,,,0
"Dissanayake, Dushanthi S","Nguyen, Do Duc","Reyes, Luis E",,,,CHEM,1111,113,13,5,2,3,2,,2,,,,1,,2,,,,,,0
"Dissanayake, Dushanthi S","Reyes, Luis E",,,,,CHEM,1111,114,10,10,5,,,1,1,,1,,,1,1,,,,,,0
"Abeykoon, Nimali C","Youn, Jonghae",,,,,CHEM,1111,115,5,17,3,,2,,,1,,1,,,,,,,,,0
"Qin, Yanping","Reyes, Luis E",,,,,CHEM,1111,116,6,17,1,1,2,1,,1,,,,,,,,,,,1
"Dissanayake, Dushanthi S","Nguyen, Do Duc",,,,,CHEM,1111,117,15,10,2,1,1,,,,,,,,1,,,,,,0
"Abeykoon, Nimali C","Youn, Jonghae",,,,,CHEM,1111,118,2,20,1,1,1,2,,,,,1,,1,,,,,,1
"Karunathilake, Arosha A","Estrada, Tania G",,,,,CHEM,1111,119,,14,5,5,3,,1,,,,,,1,,,,,,1
"Huang, Yu","Smith, Tristan",,,,,CHEM,1111,120,3,12,5,1,3,2,,,,1,,,2,,,,,,0
"Qin, Yanping","Weiland, Ashley",,,,,CHEM,1111,121,2,12,5,5,2,2,1,,,,,1,,,,,,,0
"Karunathilake, Arosha A","Estrada, Tania G",,,,,CHEM,1111,122,,15,7,4,,,,,,,,1,2,,,,,,0
"Qin, Yanping","Reyes, Luis E","Nguyen, Do Duc",,,,CHEM,1112,101,,5,7,,3,,,1,,,,,1,,,,,,0
"Qin, Yanping","Nguyen, Do Duc",,,,,CHEM,1112,102,5,11,1,2,2,,2,1,,1,,,2,,,,,,1
"Gavva, Sandhya R","Cue, John Michael",,,,,CHEM,1112,103,3,8,2,2,,,1,1,,,,,,,,,,,1
"Gavva, Sandhya R","Cue, John Michael",,,,,CHEM,1112,104,6,9,3,2,1,,1,1,1,,1,1,2,,,,,,2
"Gavva, Sandhya R",,,,,,CHEM,1311,001,9,32,13,12,27,21,8,14,18,1,8,6,32,,,,,,5
"Sibert, John W",,,,,,CHEM,1311,002,9,23,12,21,20,26,20,14,20,10,5,8,32,,,,,,6
"Dieckmann, Gregg","Cosey, Whitney",,,,,CHEM,1311,003,9,43,21,18,27,26,13,20,22,6,6,8,29,,,,,,6
"Sra, Amandeep K","Panangala, Samitha D",,,,,CHEM,1312,001,19,16,16,14,17,22,12,14,32,13,8,8,47,,,,,,15
"Panapitiya, Nimanka P",,,,,,CHEM,2323,001,7,30,13,19,14,18,6,9,5,6,4,,9,,,,,,5
"Ahn, Jung-Mo",,,,,,CHEM,2323,002,12,21,8,14,7,10,4,14,5,7,6,5,5,,,,,,10
"Wijenayake, Sumudu N",,,,,,CHEM,2323,003,7,34,12,18,5,19,9,7,8,3,3,,8,,,,,,5
"Thompson, Christina M",,,,,,CHEM,2325,001,17,23,10,13,8,9,14,7,10,12,4,,17,,,,,,3
"Panapitiya, Nimanka P","Martin, Thomas J",,,,,CHEM,2401,001,4,8,4,3,1,,,,,,,,,,,,,,0
"Pantano, Paul",,,,,,CHEM,2401,002,3,3,4,2,3,4,1,,,,,,,,,,,,0
"Dodani, Sheel C","Bulathge, Anjala W",,,,,CHEM,3341,001,7,3,4,5,1,5,3,3,6,,,,1,,,,,,1
"Marsh, Robert","Lee, Jiyong","Bhat, Vandita D","Akhavantabib, Noushin","Ashrafi, Adnin","Iyer, Archana Mahadevan",BIOL,3361,001,26,22,34,19,24,14,15,23,18,15,13,5,15,,,,,,9
"Marsh, Robert","Lee, Jiyong","Bhat, Vandita D","Akhavantabib, Noushin","Ashrafi, Adnin","Iyer, Archana Mahadevan",CHEM,3361,001,2,3,5,1,4,4,1,3,1,2,2,2,2,,,,,,1
"Goux, Warren J","Dickens, Angela","Zhou, Qinhan","Xu, Jing","Hammack, Audrey",,CHEM,3472,001,,,1,1,4,1,4,3,5,1,,,,,,,,,0
"Bulla, Lee",,,,,,BIOL,1318,001,2,2,1,3,1,3,2,11,3,3,3,2,,,,,,,2
"Burr, John G",,,,,,BIOL,2111,001,,5,2,5,9,5,3,6,,1,,1,2,,,,,,0
"Burr, John G",,,,,,BIOL,2111,002,2,3,1,4,9,5,1,4,2,2,4,,1,,,,,,2
"Burr, John G",,,,,,BIOL,2111,003,,,1,2,8,5,4,7,,1,,2,1,,,,,,0
"Burr, John G",,,,,,BIOL,2111,004,1,1,2,1,7,5,3,3,1,1,1,1,1,,,,,,0
"Burr, John G",,,,,,BIOL,2111,005,2,,3,2,9,8,2,5,3,1,1,1,3,,,,,,1
"Burr, John G",,,,,,BIOL,2111,006,1,9,,1,12,3,4,5,1,,1,2,,,,,,,1
"Srikanth, Uma",,,,,,BIOL,2111,007,9,6,5,7,3,4,2,,,,1,3,,,,,,,0
"Srikanth, Uma",,,,,,BIOL,2111,008,1,4,,4,,3,2,,1,,,,,,,,,,0
"Srikanth, Uma",,,,,,BIOL,2111,009,6,6,9,10,3,1,2,1,,1,,1,,,,,,,0
"Srikanth, Uma",,,,,,BIOL,2111,010,10,10,6,7,2,2,1,,1,1,,,,,,,,,0
"Srikanth, Uma",,,,,,BIOL,2111,011,9,7,3,4,4,3,3,3,1,1,1,,1,,,,,,0
"Srikanth, Uma",,,,,,BIOL,2111,012,4,3,7,4,2,5,4,2,2,,,5,1,,,,,,0
"Wilson, Michelle","Cao, Lian","Zhou, Qin","Yetkin, Celal E",,,BIOL,2112,001,2,4,10,2,6,6,3,4,4,1,,,3,,,,,,1
"Wilson, Michelle","Zhou, Qin","Yetkin, Celal E","Cao, Lian",,,BIOL,2112,002,1,1,11,5,6,6,4,3,1,,1,1,1,,,,,,4
"Wilson, Michelle","Zhou, Qin","Yetkin, Celal E","Cao, Lian",,,BIOL,2112,003,4,8,7,2,6,4,5,2,3,2,1,,1,,,,,,1
"Wilson, Michelle","Zhou, Qin","Cao, Lian","Yetkin, Celal E",,,BIOL,2112,004,4,6,10,5,3,7,4,1,,1,,,5,,,,,,0
"Lin, Wen J","Thaseen, Sadiqa",,,,,BIOL,2281,301,,,8,5,5,3,1,2,,,,,,,,,,,0
"Lin, Wen J","Phatak, Arya B",,,,,BIOL,2281,302,,4,9,1,3,3,1,2,,,,,,,,,,,0
"Hill, Brenna R","Wang, Haozhe",,,,,BIOL,2281,303,1,7,3,1,3,3,2,,1,,,,,,,,,,1
"Hill, Brenna R","Wang, Haozhe",,,,,BIOL,2281,304,1,4,4,6,1,2,,1,1,2,,1,,,,,,,0
"Lin, Wen J","Chen, Hao",,,,,BIOL,2281,305,,3,4,7,5,1,1,,,1,,,1,,,,,,0
"Srikanth, Uma","Ray, Ashvini","Sankaranarayanan, Ishwarya","Schramm, Sareda T","Upreti, Chahat","Rajeev, Sanjana",BIOL,2311,001,35,33,28,27,12,12,11,5,4,3,1,6,2,,,,,,0
"Burr, John G",,,,,,BIOL,2311,501,6,27,15,18,70,46,21,40,9,6,10,12,12,,,,,,5
"Wilson, Michelle","Cao, Lian","Zhou, Qin","Yetkin, Celal E",,,BIOL,2312,001,15,24,57,21,32,36,21,15,10,5,3,2,13,,,,,,9
"Hannig, Ernest",,,,,,BIOL,3101,001,,1,2,,1,2,1,5,3,4,2,,,,1,,,,3
"Dejong, Jeff L",,,,,,BIOL,3101,002,,2,1,,3,,1,3,4,4,4,1,2,,,,,,3
"Hannig, Ernest",,,,,,BIOL,3101,003,,,,,2,,1,2,6,4,4,,,,,,,,8
"Dejong, Jeff L",,,,,,BIOL,3101,004,,,,,1,3,,5,3,4,2,1,1,,1,,,,8
"Hannig, Ernest",,,,,,BIOL,3101,005,,1,1,,4,3,,2,5,3,4,3,,,,,,,4
"Dejong, Jeff L",,,,,,BIOL,3101,006,,1,1,,2,1,1,2,2,2,7,1,,,,,,,7
"Burr, John G",,,,,,BIOL,3102,001,4,7,5,,4,,,3,1,1,2,,,,4,,,,2
"Srikanth, Uma",,,,,,BIOL,3102,002,3,8,3,3,5,1,,4,1,,4,,,,,,,,1
"Burr, John G",,,,,,BIOL,3102,003,,9,2,2,4,2,2,5,1,,1,,,,1,,,,0
"Srikanth, Uma",,,,,,BIOL,3102,004,1,4,3,4,5,2,,5,1,,2,,1,,2,,,,2
"Delk, Nikki A",,,,,,BIOL,3102,005,1,3,2,1,2,3,1,2,2,1,,1,,,,,,,0
"Pan, Jing","Avadhanam, Nymisha",,,,,BIOL,3102,006,3,3,4,2,1,3,1,,1,1,,,1,,,,,,0
"Lee, Jiyong",,,,,,BIOL,3161,001,2,5,7,5,7,1,2,2,1,4,3,2,2,,,,,,1
"Marsh, Robert",,,,,,BIOL,3161,002,2,6,3,3,4,2,2,4,3,,4,2,4,,,,,,1
"Lee, Jiyong",,,,,,BIOL,3161,003,4,1,6,3,3,4,4,5,2,2,2,,2,,,,,,1
